"stockid","stocklong","country","region","lme_name","areaid","area","species","comm_name","msy_source","msy_code","msy_units","msy","year","uumsy","uumsy_source","uumsy_notes"
"JAMBERJPN","Japanese amberjack Japan","Japan","Japan",NA,"Japan-FAJ-JPN","Japan","Seriola quinqueradiata","Japanese amberjack","Assessment","MSY-MT","MT",134880.3277,2013,2.05013512254217,"Assessment","ERdivERmsy-calc-dimensionless"
"JANCHOPJPN","Japanese anchovy Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-PJPN","Pacific Coast of Japan","Engraulis japonicus","Japanese anchovy","Assessment","MSY-MT","MT",265609.5972,2013,0.551111111111111,"Assessment","ERdivERmsy-calc-dimensionless"
"JANCHOSETO","Japanese anchovy Inland Sea of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-SETO","Inland Sea of Japan","Engraulis japonicus","Japanese anchovy","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",69571.404,2013,0.747794896535811,"Assessment","ERdivERmsy-calc-dimensionless"
"JANCHOTSST","Japanese anchovy Tsushima Strait","Japan","Japan","East China Sea","Japan-FAJ-TSST","Tsushima Strait","Engraulis japonicus","Japanese anchovy","Assessment","MSY-MT","MT",149715.1118,2013,1.31270127176464,"Assessment","ERdivERmsy-calc-dimensionless"
"JCSQUIDJPNAR","Japanese flying squid Japan Autumn recruitment","Japan","Japan",NA,"Japan-FAJ-JPNAR","Japan Autumn recruitment","Todarodes pacificus","Japanese flying squid","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",300926.458,2014,0.224215246636771,"Assessment","ERdivERmsy-calc-dimensionless"
"JCSQUIDJPNWR","Japanese flying squid Japan Winter recruitment","Japan","Japan",NA,"Japan-FAJ-JPNWR","Japan Winter recruitment","Todarodes pacificus","Japanese flying squid","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",222668.703,2014,0.537382497213817,"Assessment","ERdivERmsy-calc-dimensionless"
"JMACKPJPN","Japanese jack mackerel Pacific Coast of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-PJPN","Pacific Coast of Japan","Trachurus japonicus","Japanese jack mackerel","Assessment","MSY-MT","MT",70940.57896,2013,1.32468766648588,"Assessment","ERdivERmsy-calc-dimensionless"
"JMACKTSST","Japanese jack mackerel Tsushima Strait","Japan","Japan","East China Sea","Japan-FAJ-TSST","Tsushima Strait","Trachurus japonicus","Japanese jack mackerel","Assessment","MSY-MT","MT",175541.5181,2013,0.821467688937569,"Assessment","ERdivERmsy-calc-dimensionless"
"JPUFFIMKB","Japanese pufferfish Ise and Mikawa Bay","Japan","Japan",NA,"Japan-FAJ-IMKB","Ise and Mikawa Bay","Takifugu rubripes","Japanese pufferfish","Assessment","MSY-MT","MT",133.7354381,2013,1.78457106274008,"Assessment","ERdivERmsy-calc-dimensionless"
"JPUFFSOJECSSI","Japanese pufferfish Sea of Japan and East China Sea and Seto Inland sea","Japan","Japan",NA,"Japan-FAJ-SOJECSSI","Sea of Japan and East China Sea and Seto Inland sea","Takifugu rubripes","Japanese pufferfish","Assessment","MSY-MT","MT",257.5122692,2013,1.31116588870824,"Assessment","ERdivERmsy-calc-dimensionless"
"KCROCKNPAC","Kichiji rockfish North Pacific","Japan","Japan",NA,"Japan-FAJ-NPAC","North Pacific","Sebastolobus macrochir","Kichiji rockfish","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",743.568,2013,0.366158828291749,"Assessment","ERdivERmsy-calc-dimensionless"
"KELPGREENLINGORECOAST","Kelp greenling Oregon Coast","USA","US West Coast","California Current","USA-NMFS-ORECOAST","Oregon Coast","Hexagrammos decagrammus","Kelp greenling","Assessment","MSY-MT","MT",130,2004,0.593696275071634,"Assessment","ERdivERmsy-calc-dimensionless"
"KINGKLIPSA","Kingklip South Africa","South Africa","South Africa","Agulhas Current","South Africa-DETMCM-SA","South Africa","Genypterus capensis","Kingklip","Assessment","MSY-MT","MT",5855,2012,0.462682621547094,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"KMFLOUNBSAI","Kamchatka flounder Bering Sea and Aleutian Islands","USA","US Alaska",NA,"USA-NMFS-BSAI","Bering Sea and Aleutian Islands","Atheresthes evermanni","Kamchatka flounder","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7870.732589,2014,0.553540609469654,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-NPCOAST","Northern Pacific Coast","Ophiodon elongatus","Lingcod","Assessment","MSY-MT","MT",1734,2008,0.252857142857143,"Assessment","ERdivERmsy-calc-dimensionless"
"LINGCODSOG","Lingcod Strait of Georgia","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SOG","Strait of Georgia","Ophiodon elongatus","Lingcod","Assessment","MSY-MT","MT",763,1989,0.48331102986825,"Uses converted reference point","ERdivERmsy-conv-dimensionless"
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","USA","US West Coast","California Current","USA-NMFS-SPCOAST","Southern Pacific Coast","Ophiodon elongatus","Lingcod","Assessment","MSY-MT","MT",1678,2008,0.0932038834951456,"Assessment","ERdivERmsy-calc-dimensionless"
"LISQUIDATLC","Longfin inshore squid Atlantic Coast","USA","US Southeast and Gulf","Northeast U.S. Continental Shelf","USA-NMFS-ATLC","Atlantic Coast","Doryteuthis pealeii","Longfin inshore squid","Estimated from Fox or Schaefer model","MSY-est-MT","MT",16171.22329,2009,0.6298672298801,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"LNOSESKAPCOAST","Longnose skate Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Beringraja rhina","Longnose skate","Assessment","MSY-MT","MT",1268,2007,0.8,"Assessment","ERdivERmsy-calc-dimensionless"
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","USA","US West Coast","California Current","USA-NMFS-PCOAST","Pacific Coast","Sebastolobus altivelis","Longspine thornyhead","Assessment","MSY-MT","MT",2529,2012,0.142857142857143,"Assessment","ERdivERmsy-calc-dimensionless"
"MACKNEICES","Mackerel ICES Northeast Atlantic","multinational","European Union","Iceland Shelf and Sea","multinational-ICES-IIa-IIIabd-IV-Vb-VI-VII-VIIIabcde-XII-XIV-Ixa","ICES Northeast Atlantic","Scomber scombrus","Mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",726365.3194,2016,1.53333333333333,"Assessment","FdivFmsy-calc-dimensionless"
"MACKNWATLSA3-4","Mackerel Northwest Atlantic (NAFO Subareas 3 and 4)","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-NWATLSA3-4","Northwest Atlantic (NAFO Subareas 3 and 4)","Scomber scombrus","Mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",35101.16867,2013,3.64309592858163,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"MEGSPPVIb","Megrim spp Rockall Bank","multinational","European Union",NA,"multinational-ICES-VIb","Rockall Bank","Lepidorhombus spp","Megrim spp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1988.831525,2017,0.536,"Assessment","FdivFmsy-dimensionless"
"MENATGM","Gulf menhaden Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Gulf of Mexico","Brevoortia patronus","Gulf menhaden","Estimated from Fox or Schaefer model","MSY-est-MT","MT",844066.8051,2017,0.063,"Assessment","FdivFmsy-calc-dimensionless"
"MENATLAN","Atlantic menhaden Atlantic","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-ATL","Atlantic","Brevoortia tyrannus","Atlantic menhaden","Estimated from Fox or Schaefer model","MSY-est-MT","MT",330924.2015,2016,0.64375,"Assessment","FdivFmgt-calc-dimensionless"
"MHMACKMEDGSA29","Mediterranean horse mackerel Black Sea","multinational","Mediterranean-Black Sea","Black Sea","multinational-GFCM-GSA29","Black Sea","Trachurus mediterraneus","Mediterranean horse mackerel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",19690.11288,2014,5.44444444444444,"Assessment","FdivFmsy-calc-dimensionless"
"MONKGOMNGB","Monkfish Gulf of Maine / Northern Georges Bank","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-GOMNGB","Gulf of Maine / Northern Georges Bank","Lophius americanus","Monkfish","Assessment","MSY-MT","MT",9383,2011,0.22806841632881,"Assessment","ERdivERmsy-calc-dimensionless"
"MONKSGBMATL","Monkfish Southern Georges Bank / Mid-Atlantic","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-SGBMATL","Southern Georges Bank / Mid-Atlantic","Lophius americanus","Monkfish","Assessment","MSY-MT","MT",14328,2011,0.385280286567974,"Assessment","ERdivERmsy-calc-dimensionless"
"MORWONGESE","Jackass morwong Eastern half of Southeast Australia","Australia","Australia",NA,"Australia-AFMA-ESE","Eastern half of Southeast Australia","Nemadactylus macropterus","Jackass morwong","Assessment","MSY-MT","MT",410.5118522,2017,4.33620238383834,"Assessment","FdivFmsy-calc-dimensionless"
"MORWONGWSE","Jackass morwong Western half of Southeast Australia","Australia","Australia",NA,"Australia-AFMA-WSE","Western half of Southeast Australia","Nemadactylus macropterus","Jackass morwong","Assessment","MSY-MT","MT",180.4178582,2017,0.26639220806649,"Assessment","FdivFmsy-calc-dimensionless"
"MULLQNSW","Sea mullet Queensland and New South Wales","Australia","Australia","East Central Australian Shelf","Australia-DPIF-QNSW","Queensland and New South Wales","Mugil cephalus","Sea mullet","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8552.793551,2003,0.343935047977136,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"MUTSNAPSATLCGM","Mutton snapper Southern Atlantic coast and Gulf of Mexico","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-SATLCGM","Southern Atlantic coast and Gulf of Mexico","Lutjanus analis","Mutton snapper","Assessment","MSY-MT","MT",413.9,2013,0.977777777777778,"Assessment","ERdivERmsy-calc-dimensionless"
"NEPHMEDGSA11","Norway lobster Sardinia","multinational","Mediterranean-Black Sea",NA,"multinational-GFCM-GSA11","Sardinia","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",31.209084,2015,2.06842105263158,"Assessment","FdivFmgt-calc-dimensionless"
"NEPHMEDGSA17-18","Norway lobster Adriatic Sea (GSA 17,18)","multinational","Mediterranean-Black Sea",NA,"multinational-GFCM-GSA17-18","Adriatic Sea (GSA 17,18)","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2162.891096,2015,1.28157894736842,"Assessment","FdivFmsy-calc-dimensionless"
"NEPHMEDGSA5","Norway lobster Balearic Island","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA5","Balearic Island","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",23.49845123,2013,1.68823529411765,"Assessment","FdivFmgt-calc-dimensionless"
"NEPHMEDGSA9","Norway lobster Ligurian and North Tyrrhenian Sea","multinational","Mediterranean-Black Sea","Mediterranean Sea","multinational-GFCM-GSA9","Ligurian and North Tyrrhenian Sea","Nephrops norvegicus","Norway lobster","Estimated from Fox or Schaefer model","MSY-est-MT","MT",165.3617595,2015,1.78421052631579,"Assessment","FdivFmgt-calc-dimensionless"
"NPOUTIIIa-IV","Norway pout ICES 3a-4","multinational","European Union",NA,"multinational-ICES-IIIa-IV","ICES 3a-4","Trisopterus esmarkii","Norway pout","Estimated from Fox or Schaefer model","MSY-est-MT","MT",207682.4358,2017,0.679338428622113,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"NROCKBSAI","Northern rockfish Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-BSAI","Bering Sea and Aleutian Islands","Sebastes polyspinis","Northern rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",7602.189595,2010,0.312676056338028,"Assessment","FdivFmsy-calc-dimensionless"
"NROCKGA","Northern rockfish Gulf of Alaska","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Gulf of Alaska","Sebastes polyspinis","Northern rockfish","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4507.564513,2010,0.366349750485644,"Assessment","ERdivERmsy-calc-dimensionless"
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","USA","US Alaska","East Bering Sea","USA-NMFS-EBSAI","Eastern Bering Sea and Aleutian Islands","Lepidopsetta polyxystra","Northern rock sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",107927.0529,2012,0.365853658536585,"Assessment","FdivFmsy-calc-dimensionless"
"NRSOLEGA","Northern rock sole Gulf of Alaska","USA","US Alaska",NA,"USA-NMFS-GA","Gulf of Alaska","Lepidopsetta polyxystra","Northern rock sole","Estimated from Fox or Schaefer model","MSY-est-MT","MT",3400.454884,2014,0.286651475581273,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"NZLINGESE","Ling Southeast Australia","Australia","Australia","Southeast Australian Shelf","Australia-AFMA-SE","Southeast Australia","Genypterus blacodes","Ling","Estimated from Fox or Schaefer model","MSY-est-MT","MT",364.5858755,2007,3.59344177358463,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"NZLINGLIN3-4","Ling New Zealand Areas LIN 3 and 4","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-LIN3-4","New Zealand Areas LIN 3 and 4","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",6424,2014,0.114297537504588,"Assessment","ERdivERmsy-calc-dimensionless"
"NZLINGLIN5-6","Ling New Zealand Areas LIN 5 and 6","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-LIN5-6","New Zealand Areas LIN 5 and 6","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",23827,2011,0.0481324103998078,"Assessment","ERdivERmsy-calc-dimensionless"
"NZLINGLIN6b","Ling New Zealand Areas LIN 6b","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-LIN6b","New Zealand Areas LIN 6b","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",893.8449,2006,0.222002728476962,"Assessment","ERdivERmsy-calc-dimensionless"
"NZLINGLIN72","Ling New Zealand Areas LIN 72","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-LIN72","New Zealand Areas LIN 72","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",544.244,2010,0.190249846937182,"Assessment","ERdivERmsy-calc-dimensionless"
"NZLINGLIN7WC","Ling New Zealand Areas LIN 7WC-WCSI","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-LIN7WC-WCSI","New Zealand Areas LIN 7WC-WCSI","Genypterus blacodes","Ling","Assessment","MSY-MT","MT",5150,2008,0.180466300132605,"Assessment","ERdivERmsy-calc-dimensionless"
"NZLINGWSE","Ling Western half of Southeast Australia","Australia","Australia","South West Australian Shelf","Australia-AFMA-WSE","Western half of Southeast Australia","Genypterus blacodes","Ling","Converted from other assessment values (ie Bmsy from B0)","MSY-conv-MT","MT",1234.677882,2007,0.374516752577319,"Assessment","ERdivERmsy-calc-dimensionless"
"NZSNAPNZ1BOP-HAGU","New Zealand snapper New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SNA1-BOP-HAGU","New Zealand SNA 1 Bay of Plenty and Hauraki Gulf","Pagrus auratus","New zealand snapper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4427.848612,2013,1.14425448000891,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"NZSNAPNZ1ENLD","New Zealand snapper New Zealand SNA 1 east Northland","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SNA-1-ENLD","New Zealand SNA 1 east Northland","Pagrus auratus","New zealand snapper","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1762.656372,2013,1.7509172412772,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"NZSNAPNZ7","New Zealand snapper New Zealand SNA 7","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SNA-7","New Zealand SNA 7","Pagrus auratus","New zealand snapper","Assessment","MSY-MT","MT",699,2014,0.836,"Assessment","FdivFmgt-dimensionless"
"NZSNAPNZ8","New Zealand snapper New Zealand Area 8 (Auckland and Central West)","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-8","New Zealand Area 8 (Auckland and Central West)","Pagrus auratus","New zealand snapper","Assessment","MSY-MT","MT",2284.7076,2005,3.90641265897126,"Assessment","ERdivERmsy-calc-dimensionless"
"OFLOUNECS","Japanese flounder East China Sea","Japan","Japan","East China Sea","Japan-FAJ-ECS","East China Sea","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",1181.763806,2013,2.4233814527754,"Assessment","ERdivERmsy-calc-dimensionless"
"OFLOUNNSJ","Japanese flounder Sea of Japan North","Japan","Japan","Sea of Japan","Japan-FAJ-NSJ","Sea of Japan North","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",1556.224123,2013,2.06851971557854,"Assessment","ERdivERmsy-calc-dimensionless"
"OFLOUNPAC","Japanese flounder Pacific Ocean","Japan","Japan","Kuroshio Current","Japan-FAJ-PAC","Pacific Ocean","Paralichthys olivaceus","Japanese flounder","Calculated from other assessment values (ie Bmsy from MSY and Umsy)","MSY-calc-MT","MT",2156.174,2012,0.388367561682396,"Assessment","ERdivERmsy-calc-dimensionless"
"OFLOUNSETO","Japanese flounder Inland Sea of Japan","Japan","Japan","Kuroshio Current","Japan-FAJ-SETO","Inland Sea of Japan","Paralichthys olivaceus","Japanese flounder","Assessment","MSY-MT","MT",874.6563098,2013,1.41208303386462,"Assessment","ERdivERmsy-calc-dimensionless"
"OROUGHYCASCADE","Orange roughy Cascade Plateau","Australia","Australia","South West Australian Shelf","Australia-AFMA-CASCADE","Cascade Plateau","Hoplostethus atlanticus","Orange roughy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",1437.826013,2006,0.620104101637055,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"OROUGHYCH","Orange roughy Chile","multinational","South America","Humboldt Current","multinational-SPRFMO-CHL","Chile","Hoplostethus atlanticus","Orange roughy","Estimated from Fox or Schaefer model","MSY-est-MT","MT",222.4233527,2011,0,"Assessment","FdivFmsy-calc-dimensionless"
"OROUGHYESCR","Orange roughy East and South Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-ESCR","East and South Chatham Rise","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",8640,2014,0.307951102641175,"Assessment","ERdivERmgt-calc-dimensionless"
"OROUGHYNWCR","Orange roughy Northwest Chatham Rise","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NWCR","Northwest Chatham Rise","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",1386,2014,0.06,"Assessment","ERdivERmsy-dimensionless"
"OROUGHYNZ7A","Orange roughy New Zealand Challenger Plateau","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NZ7A","New Zealand Challenger Plateau","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",1848,2014,0.21,"Assessment","ERdivERmsy-dimensionless"
"OROUGHYNZMEC","Orange roughy New Zealand Mid East Coast","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NZMEC","New Zealand Mid East Coast","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",2214,2014,0.626010829538733,"Assessment","ERdivERmgt-calc-dimensionless"
"OROUGHYSE","Orange roughy Southeast Australia","Australia","Australia","South West Australian Shelf","Australia-AFMA-SE","Southeast Australia","Hoplostethus atlanticus","Orange roughy","Assessment","MSY-MT","MT",2191.690032,2013,0.0630086380777731,"Assessment","FdivFmsy-calc-dimensionless"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","Multinational","Pacific Ocean","South Pacific Ocean","multinational-ISC-PAC","Pacific Ocean","Thunnus orientalis","Pacific bluefin tuna","Estimated from Fox or Schaefer model","MSY-est-MT","MT",27398.70189,2012,4.91437872454167,"Assessment","ERdivERmsy-calc-dimensionless"
"PANCHPERUNC","Peruvian anchoveta North-Central Peruvian coast","Peru","South America","Humboldt Current","Peru-IMARPE-NC","North-Central Peruvian coast","Engraulis ringens","Peruvian anchoveta","Estimated from Fox or Schaefer model","MSY-est-MT","MT",4183417.169,2015,0.518180381859582,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDAL4RST","Northern shrimp Gulf of St. Lawrence","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-4RST","Gulf of St. Lawrence","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",42824.85055,2011,0.730525456937428,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALGOM","Northern shrimp Gulf of Maine","USA","US East Coast","Northeast U.S. Continental Shelf","USA-NMFS-5Y","Gulf of Maine","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",5369.742653,2008,0.57396534002929,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSFA13-15","Northern shrimp Eastern Scotian Shelf (SFA 13-15)","Canada","Canada East Coast","Scotian Shelf","Canada-DFO-SFA13-15","Eastern Scotian Shelf (SFA 13-15)","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",8751.52071,2012,0.335514849392909,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSFA2-3","Northern shrimp Shrimp Fishing Areas 2-3","Canada","Canada East Coast","Labrador Sea","Canada-DFO-SFA2-3","Shrimp Fishing Areas 2-3","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",33832.84841,2015,0.05521929132386,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSFA4","Northern shrimp Shrimp Fishing Area 4","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-SFA4","Shrimp Fishing Area 4","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",57628.27018,2012,0.091484141996146,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSFA6","Northern shrimp Shrimp Fishing Area 6","Canada","Canada East Coast","Labrador - Newfoundland","Canada-DFO-SFA6","Shrimp Fishing Area 6","Pandalus borealis","Northern shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",75441.80205,2012,0.651381085970735,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMA14","Ocean shrimp Shrimp Management Area 14","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-14","Shrimp Management Area 14","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",170.1596347,2010,0.229864561166481,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMA16","Ocean shrimp Shrimp Management Area 16","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-16","Shrimp Management Area 16","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",58.48743119,2010,0.625424782469239,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMA18-19","Ocean shrimp Shrimp Management Areas 18 and 19","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-18-19","Shrimp Management Areas 18 and 19","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",163.7737685,2011,0,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMAFR","Ocean shrimp Shrimp Management Area FR","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-FR","Shrimp Management Area FR","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",151.1837814,2010,0.374040831329003,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMAGTSE","Ocean shrimp Shrimp Management Area GTSE","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-GTSE","Shrimp Management Area GTSE","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",132.1030471,2010,0.255789559927217,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PANDALSMAPRD","Ocean shrimp Shrimp Management Area PRD","Canada","Canada West Coast","Gulf of Alaska","Canada-DFO-SMA-PRD","Shrimp Management Area PRD","Pandalus jordani","Ocean shrimp","Estimated from Fox or Schaefer model","MSY-est-MT","MT",415.6878955,2010,0.0353827260210565,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PATGRENADIERCH","Patagonian grenadier Central-Southern Chile","Chile","South America","Humboldt Current","Chile-SUBPESCA-CH-CS","Central-Southern Chile","Macruronus magellanicus","Patagonian grenadier","Estimated from Fox or Schaefer model","MSY-est-MT","MT",114269.9457,2015,1.073338604857,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PATGRENADIERSARG","Patagonian grenadier Southern Argentina","Argentina","South America","Patagonian Shelf","Argentina-CFP-ARG-S","Southern Argentina","Macruronus magellanicus","Patagonian grenadier","Estimated from Fox or Schaefer model","MSY-est-MT","MT",90271.74387,2015,1.09090909090909,"Assessment","FdivFmsy-calc-dimensionless"
"PAUANPAU5A","Paua NZ Area North PAUA 5A","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-NPAU5A","NZ Area North PAUA 5A","Haliotis iris","Paua","Assessment","MSY-MT","MT",73,2014,0.4,"Assessment","ERdivERmsy-dimensionless"
"PAUAPAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-PAU5B","New Zealand Area PAU 5B (Stewart Island)","Haliotis iris","Paua","Assessment","MSY-MT","MT",190,2013,0.29,"Assessment","ERdivERmsy-dimensionless"
"PAUAPAU5D","Paua New Zealand Area PAU 5D (Otago)","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-PAU5D","New Zealand Area PAU 5D (Otago)","Haliotis iris","Paua","Assessment","MSY-MT","MT",121,2012,0.8,"Assessment","ERdivERmsy-dimensionless"
"PAUAPAU7","Paua New Zealand Area PAU 7 (Marlborough)","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-PAU7","New Zealand Area PAU 7 (Marlborough)","Haliotis iris","Paua","Assessment","MSY-MT","MT",207,2015,1.23,"Assessment","ERdivERmsy-dimensionless"
"PAUASPAU5A","Paua NZ Area South PAUA 5A","New Zealand","New Zealand","New Zealand Shelf","New Zealand-MFish-SPAU5A","NZ Area South PAUA 5A","Haliotis iris","Paua","Assessment","MSY-MT","MT",57,2014,0.47,"Assessment","ERdivERmsy-dimensionless"
"PCEELARGS","Pink cusk eel Southern Argentina","Argentina","South America",NA,"Argentina-CFP-ARG-S","Southern Argentina","Genypterus blacodes","Pink cusk eel","Assessment","MSY-MT","MT",11700,2013,2.9354666281235,"Uses scaled reference point","ERdivERmsy-est-dimensionless"
"PCEELCSCH","Pink cusk eel Central-Southern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-CS","Central-Southern Chile","Genypterus blacodes","Pink cusk eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",2993.635155,2015,1.07594936708861,"Assessment","FdivFmsy-calc-dimensionless"
"PCEELSCH","Pink cusk eel Southern Chile","Chile","South America",NA,"Chile-SUBPESCA-CH-S","Southern Chile","Genypterus blacodes","Pink cusk eel","Estimated from Fox or Schaefer model","MSY-est-MT","MT",909.4450572,2015,1.28888888888889,"Assessment","FdivFmsy-calc-dimensionless"
