"species","resilience"
"Centroberyx spinosus","Medium"
"Centrobranchus andreae","High"
"Centrobranchus brevirostris","High"
"Centrobranchus choerocephalus","High"
"Centrobranchus nigroocellatus","High"
"Centrochir crocodili","High"
"Centrodoras brachiatus","Medium"
"Centrodoras hasemani","High"
"Centrodraco striatus","Medium"
"Centrolabrus exoletus","Medium"
"Centrolabrus melanocercus","High"
"Centrolophus niger","Very low"
"Centromochlus altae","High"
"Centromochlus bockmanni","High"
"Centromochlus britskii","High"
"Centromochlus concolor","High"
"Centromochlus existimatus","High"
"Centromochlus ferrarisi","High"
"Centromochlus heckelii","High"
"Centromochlus macracanthus","High"
"Centromochlus megalops","High"
"Centromochlus meridionalis","High"
"Centromochlus perugiae","Low"
"Centromochlus punctatus","High"
"Centromochlus reticulatus","High"
"Centromochlus romani","High"
"Centromochlus schultzi","High"
"Centromochlus simplex","High"
"Centrophorus atromarginatus","Low"
"Centrophorus granulosus","Low"
"Centrophorus harrissoni","Low"
"Centrophorus isodon","Low"
"Centrophorus lesliei","Very low"
"Centrophorus longipinnis","Very low"
"Centrophorus lusitanicus","Very low"
"Centrophorus moluccensis","Very low"
"Centrophorus seychellorum","Very low"
"Centrophorus squamosus","Low"
"Centrophorus tessellatus","Low"
"Centrophorus uyato","Very low"
"Centrophorus westraliensis","Very low"
"Centrophorus zeehaani","Very low"
"Centropogon australis","Medium"
"Centropogon latifrons","Medium"
"Centropogon marmoratus","Medium"
"Centropomus armatus","Medium"
"Centropomus ensiferus","Medium"
"Centropomus medius","High"
"Centropomus mexicanus","Medium"
"Centropomus nigrescens","Medium"
"Centropomus parallelus","Medium"
"Centropomus pectinatus","High"
"Centropomus poeyi","Medium"
"Centropomus robalito","High"
"Centropomus undecimalis","Medium"
"Centropomus unionensis","High"
"Centropomus viridis","Medium"
"Centropristis fuscula","High"
"Centropristis ocyurus","Medium"
"Centropristis philadelphica","Medium"
"Centropristis rufus","Medium"
"Centropristis striata","Medium"
"Centropyge abei","High"
"Centropyge acanthops","High"
"Centropyge argi","High"
"Centropyge aurantia","High"
"Centropyge aurantonotus","High"
"Centropyge bicolor","Low"
"Centropyge bispinosa","High"
"Centropyge boylei","High"
"Centropyge cocosensis","High"
"Centropyge colini","High"
"Centropyge debelius","High"
"Centropyge deborae","High"
"Centropyge eibli","Medium"
"Centropyge ferrugata","High"
"Centropyge fisheri","High"
"Centropyge flavipectoralis","High"
"Centropyge flavissima","Medium"
"Centropyge heraldi","Medium"
"Centropyge hotumatua","High"
"Centropyge interrupta","Medium"
"Centropyge joculator","High"
"Centropyge loriculus","Medium"
"Centropyge multicolor","High"
"Centropyge multispinis","Medium"
"Centropyge nahackyi","High"
"Centropyge narcosis","High"
"Centropyge nigriocella","High"
"Centropyge nox","High"
"Centropyge potteri","High"
"Centropyge resplendens","High"
"Centropyge shepardi","High"
"Centropyge tibicen","Medium"
"Centropyge venusta","High"
"Centropyge vrolikii","Medium"
"Centropyge woodheadi","High"
"Centroscyllium excelsum","Low"
"Centroscyllium fabricii","Low"
"Centroscyllium granulatum","Low"
"Centroscyllium kamoharai","Low"
"Centroscyllium nigrum","Low"
"Centroscyllium ornatum","Low"
"Centroscyllium ritteri","Low"
"Centroscymnus coelolepis","Very low"
"Centroscymnus crepidater","Very low"
"Centroscymnus macracanthus","Low"
"Centroscymnus owstonii","Low"
"Centroscymnus plunketi","Low"
"Cephalocassis borneensis","Medium"
"Cephalocassis jatia","Medium"
"Cephalocassis manillensis","Medium"
"Cephalocassis melanochir","Medium"
"Cephalopholis aitha","Medium"
"Cephalopholis argus","Medium"
"Cephalopholis aurantia","Medium"
"Cephalopholis boenak","Medium"
"Cephalopholis cruentata","Medium"
"Cephalopholis cyanostigma","Medium"
"Cephalopholis formosa","Medium"
"Cephalopholis fulva","Medium"
"Cephalopholis hemistiktos","Low"
"Cephalopholis igarashiensis","Medium"
"Cephalopholis leopardus","High"
"Cephalopholis microprion","Medium"
"Cephalopholis miniata","Low"
"Cephalopholis nigri","Medium"
"Cephalopholis nigripinnis","Medium"
"Cephalopholis oligosticta","Medium"
"Cephalopholis panamensis","Medium"
"Cephalopholis polleni","Medium"
"Cephalopholis polyspila","High"
"Cephalopholis sexmaculata","Medium"
"Cephalopholis sonnerati","Medium"
"Cephalopholis spiloparaea","Medium"
"Cephalopholis taeniops","Low"
"Cephalopholis urodeta","High"
"Cephalopsetta ventrocellatus","High"
"Cephaloscyllium albipinnum","Low"
"Cephaloscyllium cooki","Medium"
"Cephaloscyllium fasciatum","Low"
"Cephaloscyllium hiscosellum","Medium"
"Cephaloscyllium isabellum","Low"
"Cephaloscyllium laticeps","Low"
"Cephaloscyllium pictum","Low"
"Cephaloscyllium sarawakensis","Medium"
"Cephaloscyllium signourum","Low"
"Cephaloscyllium silasi","Low"
"Cephaloscyllium speccum","Medium"
"Cephaloscyllium stevensi","Medium"
"Cephaloscyllium sufflans","Low"
"Cephaloscyllium umbratile","Low"
"Cephaloscyllium variegatum","Low"
"Cephaloscyllium ventriosum","Low"
"Cephaloscyllium zebrum","Medium"
"Cephalosilurus albomarginatus","High"
"Cephalurus cephalus","Very low"
"Cepola australis","High"
"Cepola haastii","Medium"
"Cepola macrophthalma","Medium"
"Cepola pauciradiata","Medium"
"Cepola schlegelii","Medium"
"Ceratobregma acanthops","High"
"Ceratobregma helenae","High"
"Ceratoglanis pachynema","Medium"
"Ceratoglanis scleronema","Medium"
"Ceratoscopelus maderensis","Medium"
"Ceratoscopelus townsendi","Medium"
"Ceratoscopelus warmingii","Medium"
"Cercamia cladara","High"
"Cercamia eremia","High"
"Cercamia melanogaster","High"
"Cerdale fasciata","High"
"Cerdale floridana","High"
"Cerdale ionthas","High"
"Cestraeus goldiei","Medium"
"Cestraeus oxyrhyncus","Medium"
"Cestraeus plicatilis","Medium"
"Cetengraulis edentulus","Medium"
"Cetengraulis mysticetus","High"
"Cetichthys indagator","High"
"Cetichthys parini","Medium"
"Cetomimoides parri","High"
"Cetomimus compunctus","High"
"Cetomimus craneae","High"
"Cetomimus gillii","High"
"Cetomimus hempeli","High"
"Cetomimus kerdops","High"
"Cetomimus picklei","High"
"Cetomimus teevani","High"
"Cetonurichthys subinflatus","Medium"
"Cetonurus crassiceps","Medium"
"Cetonurus globiceps","Low"
"Cetopsidium ferreirai","High"
"Cetopsidium minutum","High"
"Cetopsidium morenoi","High"
"Cetopsidium orientale","High"
"Cetopsidium pemon","High"
"Cetopsidium roae","High"
"Cetopsidium soniae","High"
"Cetopsis arcana","High"
"Cetopsis caiapo","High"
"Cetopsis jurubidae","High"
"Cetopsis oliveirai","High"
"Cetopsis orinoco","High"
"Cetopsis sandrae","High"
"Cetopsis sarcodes","High"
"Cetopsis starnesi","High"
"Cetopsis umbrosa","High"
"Cetopsorhamdia boquillae","High"
"Cetopsorhamdia filamentosa","High"
"Cetopsorhamdia insidiosa","High"
"Cetopsorhamdia molinae","High"
"Cetopsorhamdia nasus","High"
"Cetopsorhamdia orinoco","High"
"Cetopsorhamdia phantasia","High"
"Cetorhinus maximus","Very low"
"Cetoscarus bicolor","Low"
"Cetoscarus ocellatus","Medium"
"Cetostoma regani","Medium"
"Chaenocephalus aceratus","Medium"
"Chaenodraco wilsoni","Medium"
"Chaenogaleus macrostoma","Very low"
"Chaenogobius annularis","High"
"Chaenogobius gulosus","High"
"Chaenomugil proboscideus","Medium"
"Chaenophryne draco","Medium"
"Chaenophryne longiceps","Medium"
"Chaenophryne melanorhabdus","High"
"Chaenophryne quasiramifera","High"
"Chaenophryne ramifera","High"
"Chaenopsis coheni","Low"
"Chaenopsis deltarrhis","High"
"Chaenopsis limbaughi","High"
"Chaenopsis roseola","High"
"Chaenopsis schmitti","High"
"Chaetobranchopsis australis","Medium"
"Chaetobranchopsis orbicularis","Medium"
"Chaetobranchus flavescens","High"
"Chaetobranchus semifasciatus","Medium"
"Chaetodermis penicilligerus","Medium"
"Chaetodipterus faber","Medium"
"Chaetodipterus lippei","Medium"
"Chaetodipterus zonatus","Medium"
"Chaetodon adiergastos","High"
"Chaetodon andamanensis","High"
"Chaetodon argentatus","High"
"Chaetodon assarius","High"
"Chaetodon aureofasciatus","High"
"Chaetodon auriga","High"
"Chaetodon auripes","High"
"Chaetodon austriacus","High"
"Chaetodon baronessa","High"
"Chaetodon bennetti","High"
"Chaetodon blackburnii","High"
"Chaetodon burgessi","High"
"Chaetodon capistratus","High"
"Chaetodon citrinellus","High"
"Chaetodon collare","High"
"Chaetodon daedalma","High"
"Chaetodon declivis","High"
"Chaetodon decussatus","High"
"Chaetodon dialeucos","High"
"Chaetodon dolosus","High"
"Chaetodon ephippium","High"
"Chaetodon falcula","High"
"Chaetodon fasciatus","High"
"Chaetodon flavirostris","High"
"Chaetodon flavocoronatus","High"
"Chaetodon fremblii","High"
"Chaetodon gardineri","High"
"Chaetodon guentheri","High"
"Chaetodon guttatissimus","High"
"Chaetodon hoefleri","High"
"Chaetodon humeralis","High"
"Chaetodon interruptus","High"
"Chaetodon kleinii","High"
"Chaetodon larvatus","High"
"Chaetodon leucopleura","High"
"Chaetodon lineolatus","High"
"Chaetodon litus","High"
"Chaetodon lunula","High"
"Chaetodon lunulatus","High"
"Chaetodon madagaskariensis","High"
"Chaetodon marleyi","High"
"Chaetodon melannotus","Low"
"Chaetodon melapterus","High"
"Chaetodon mertensii","High"
"Chaetodon mesoleucos","High"
"Chaetodon meyeri","High"
"Chaetodon miliaris","High"
"Chaetodon mitratus","High"
"Chaetodon multicinctus","High"
"Chaetodon nigropunctatus","High"
"Chaetodon nippon","High"
"Chaetodon ocellatus","High"
"Chaetodon ocellicaudus","High"
"Chaetodon octofasciatus","High"
"Chaetodon ornatissimus","High"
"Chaetodon oxycephalus","High"
"Chaetodon paucifasciatus","High"
"Chaetodon pelewensis","High"
"Chaetodon pictus","High"
"Chaetodon plebeius","High"
"Chaetodon punctatofasciatus","High"
"Chaetodon quadrimaculatus","High"
"Chaetodon rafflesii","High"
"Chaetodon rainfordi","High"
"Chaetodon reticulatus","High"
"Chaetodon robustus","High"
"Chaetodon sanctaehelenae","High"
"Chaetodon sedentarius","Medium"
"Chaetodon selene","High"
"Chaetodon semeion","High"
"Chaetodon semilarvatus","High"
"Chaetodon smithi","High"
"Chaetodon speculum","High"
"Chaetodon striatus","High"
"Chaetodon tinkeri","High"
"Chaetodon triangulum","High"
"Chaetodon trichrous","High"
"Chaetodon tricinctus","High"
"Chaetodon trifascialis","High"
"Chaetodon trifasciatus","High"
"Chaetodon ulietensis","High"
"Chaetodon unimaculatus","High"
"Chaetodon vagabundus","High"
"Chaetodon wiebeli","High"
"Chaetodon xanthocephalus","High"
"Chaetodon xanthurus","High"
"Chaetodon zanzibarensis","High"
"Chaetodontoplus ballinae","Medium"
"Chaetodontoplus caeruleopunctatus","Medium"
"Chaetodontoplus cephalareticulatus","High"
"Chaetodontoplus chrysocephalus","Medium"
"Chaetodontoplus conspicillatus","High"
"Chaetodontoplus dimidiatus","Medium"
"Chaetodontoplus duboulayi","Medium"
"Chaetodontoplus melanosoma","Medium"
"Chaetodontoplus meredithi","Medium"
"Chaetodontoplus mesoleucus","Medium"
"Chaetodontoplus niger","Medium"
"Chaetodontoplus personifer","Low"
"Chaetodontoplus poliourus","High"
"Chaetodontoplus septentrionalis","Medium"
"Chaetodontoplus vanderloosi","Medium"
"Chaetostoma changae","High"
"Chaetostoma dorsale","High"
"Chaetostoma dupouii","High"
"Chaetostoma formosae","High"
"Chaetostoma guairense","High"
"Chaetostoma machiquense","High"
"Chaetostoma niveum","High"
"Chaetostoma palmeri","High"
"Chaetostoma paucispinis","High"
"Chaetostoma sovichthys","High"
"Chaetostoma tachiraense","High"
"Chaetostoma vagum","High"
"Chaetostoma venezuelae","High"
"Chaetostoma yurubiense","High"
"Chaeturichthys jeoni","Medium"
"Chaeturichthys stigmatias","Medium"
"Chagunius baileyi","Medium"
"Chagunius chagunio","Low"
"Chagunius nicholsi","Medium"
"Chalaroderma capito","Medium"
"Chalaroderma ocellata","High"
"Chalinochromis brichardi","Medium"
"Chalinochromis cyanophleps","High"
"Chalinochromis popelini","Medium"
"Chalixodytes chameleontoculis","High"
"Chalixodytes tauensis","High"
"Champsocephalus esox","Medium"
"Champsocephalus gunnari","Medium"
"Champsochromis caeruleus","Medium"
"Champsochromis spilorhynchus","Medium"
"Champsodon vorax","High"
"Chanda nama","High"
"Chandramara chandramara","High"
"Channa amphibeus","Medium"
"Channa andrao","Medium"
"Channa argus","Low"
"Channa asiatica","High"
"Channa aurantimaculata","High"
"Channa aurantipectoralis","Medium"
"Channa bankanensis","High"
"Channa baramensis","Medium"
"Channa barca","Low"
"Channa bleheri","High"
"Channa burmanica","High"
"Channa cyanospilos","High"
"Channa diplogramma","Medium"
"Channa gachua","Medium"
"Channa harcourtbutleri","Medium"
"Channa hoaluensis","High"
"Channa longistomata","High"
"Channa lucius","Medium"
"Channa maculata","High"
"Channa marulioides","High"
"Channa marulius","Medium"
"Channa melanoptera","Medium"
"Channa melanostigma","High"
"Channa melasoma","Medium"
"Channa micropeltes","Low"
"Channa ninhbinhensis","High"
"Channa nox","High"
"Channa orientalis","Medium"
"Channa ornatipinnis","High"
"Channa panaw","High"
"Channa pardalis","High"
"Channa pleurophthalma","Medium"
"Channa pomanensis","High"
"Channa pseudomarulius","High"
"Channa pulchra","High"
"Channa punctata","Medium"
"Channa shingon","High"
"Channa stewartii","High"
"Channa striata","Medium"
"Channallabes alvarezi","Medium"
"Channallabes apus","Medium"
"Channallabes longicaudatus","High"
"Channallabes ogooensis","High"
"Channallabes sanghaensis","High"
"Channallabes teugelsi","High"
"Channichthys aelitae","Medium"
"Channichthys bospori","Medium"
"Channichthys irinae","High"
"Channichthys mithridatis","Medium"
"Channichthys panticapaei","Medium"
"Channichthys rhinoceratus","Medium"
"Channichthys richardsoni","Medium"
"Channichthys rugosus","High"
"Channichthys velifer","Medium"
"Channomuraena bauchotae","Very low"
"Channomuraena vittata","Very low"
"Chanodichthys abramoides","Very low"
"Chanodichthys dabryi","Low"
"Chanodichthys erythropterus","Low"
"Chanodichthys mongolicus","Very low"
"Chanodichthys oxycephalus","Medium"
"Chanos chanos","Low"
"Chapalichthys encaustus","Low"
"Chapalichthys pardalis","Low"
"Chapalichthys peraticus","Low"
"Characidium alipioi","High"
"Characidium bahiense","High"
"Characidium bimaculatum","High"
"Characidium boavistae","High"
"Characidium boehlkei","High"
"Characidium bolivianum","High"
"Characidium borellii","High"
"Characidium brevirostre","High"
"Characidium chupa","High"
"Characidium crandellii","High"
"Characidium declivirostre","High"
"Characidium etheostoma","High"
"Characidium grajahuensis","High"
"Characidium hasemani","High"
"Characidium heinianum","High"
"Characidium heirmostigmata","High"
"Characidium interruptum","High"
"Characidium japuhybense","High"
"Characidium lagosantense","High"
"Characidium lanei","High"
"Characidium laterale","High"
"Characidium lauroi","High"
"Characidium macrolepidotum","High"
"Characidium marshi","High"
"Characidium nupelia","High"
"Characidium oiticicai","High"
"Characidium pellucidum","High"
"Characidium phoxocephalum","High"
"Characidium pteroides","High"
"Characidium pterostictum","High"
"Characidium purpuratum","High"
"Characidium rachovii","High"
"Characidium roesseli","High"
"Characidium sanctjohanni","High"
"Characidium schindleri","High"
"Characidium steindachneri","High"
"Characidium timbuiense","High"
"Characidium vestigipinne","High"
"Characidium vidali","High"
"Characidium xanthopterum","High"
"Characidium xavante","High"
"Characidium zebra","High"
"Characodon lateralis","High"
"Charybdis feriatus","High"
"Chascanopsetta crumenalis","Medium"
"Chascanopsetta elski","Medium"
"Chascanopsetta kenyaensis","Medium"
"Chascanopsetta lugubris","Low"
"Chascanopsetta megagnatha","Medium"
"Chascanopsetta micrognatha","Medium"
"Chascanopsetta prognatha","Medium"
"Chascanopsetta prorigera","Medium"
"Chasmistes brevirostris","Low"
"Chasmistes cujus","Very low"
"Chasmistes fecundus","Very low"
"Chasmistes liorus","Low"
"Chasmistes muriei","Very low"
"Chasmocranus brevior","High"
"Chasmocranus chimantanus","High"
"Chasmocranus lopezi","High"
"Chasmocranus peruanus","High"
"Chasmocranus quadrizonatus","High"
"Chasmocranus rosae","High"
"Chasmodes bosquianus","High"
"Chasmodes longimaxilla","High"
"Chasmodes saburrae","High"
"Chatrabus felinus","Medium"
"Chatrabus hendersoni","Medium"
"Chatrabus melanurus","Medium"
"Chaudhuria caudata","High"
"Chaudhuria fusipinnis","High"
"Chauliodus barbatus","High"
"Chauliodus danae","Medium"
"Chauliodus dentatus","Medium"
"Chauliodus macouni","Medium"
"Chauliodus minimus","Medium"
"Chauliodus pammelas","High"
"Chauliodus schmidti","Medium"
"Chauliodus sloani","Medium"
"Chauliodus vasnetzovi","Medium"
"Chaunax latipunctatus","Medium"
"Chaunax pictus","Medium"
"Chaunax umbrinus","Low"
"Cheilinus abudjubbe","Medium"
"Cheilinus chlorourus","Medium"
"Cheilinus fasciatus","Medium"
"Cheilinus lunulatus","Medium"
"Cheilinus oxycephalus","High"
"Cheilinus trilobatus","Medium"
"Cheilinus undulatus","Low"
"Cheilio inermis","Low"
"Cheilochromis euchilus","Medium"
"Cheilodactylus ephippium","Medium"
"Cheilodactylus fasciatus","Medium"
"Cheilodactylus francisi","Medium"
"Cheilodactylus fuscus","Low"
"Cheilodactylus gibbosus","Medium"
"Cheilodactylus nigripes","Medium"
"Cheilodactylus pixi","High"
"Cheilodactylus plessisi","Medium"
"Cheilodactylus quadricornis","Medium"
"Cheilodactylus rubrolabiatus","Medium"
"Cheilodactylus spectabilis","Very low"
"Cheilodactylus variegatus","Medium"
"Cheilodactylus vestitus","Medium"
"Cheilodactylus vittatus","Medium"
"Cheilodactylus zebra","Medium"
"Cheilodactylus zonatus","Medium"
"Cheilodipterus alleni","High"
"Cheilodipterus arabicus","High"
"Cheilodipterus artus","High"
"Cheilodipterus intermedius","High"
"Cheilodipterus isostigmus","High"
"Cheilodipterus lachneri","High"
"Cheilodipterus macrodon","High"
"Cheilodipterus nigrotaeniatus","High"
"Cheilodipterus novemstriatus","High"
"Cheilodipterus octovittatus","High"
"Cheilodipterus parazonatus","High"
"Cheilodipterus persicus","High"
"Cheilodipterus pygmaios","High"
"Cheilodipterus quinquelineatus","High"
"Cheilodipterus singapurensis","High"
"Cheilodipterus subulatus","High"
"Cheilodipterus zonatus","High"
"Cheilopogon abei","High"
"Cheilopogon agoo","High"
"Cheilopogon altipennis","High"
"Cheilopogon arcticeps","High"
"Cheilopogon atrisignis","High"
"Cheilopogon cyanopterus","High"
"Cheilopogon doederleinii","High"
"Cheilopogon dorsomacula","High"
"Cheilopogon exsiliens","High"
"Cheilopogon furcatus","High"
"Cheilopogon heterurus","High"
"Cheilopogon hubbsi","High"
"Cheilopogon intermedius","High"
"Cheilopogon katoptron","High"
"Cheilopogon melanurus","High"
"Cheilopogon milleri","High"
"Cheilopogon nigricans","High"
"Cheilopogon olgae","High"
"Cheilopogon papilio","High"
"Cheilopogon pinnatibarbatus californicus","High"
"Cheilopogon pinnatibarbatus japonicus","High"
"Cheilopogon pinnatibarbatus melanocercus","High"
"Cheilopogon pinnatibarbatus pinnatibarbatus","High"
"Cheilopogon pitcairnensis","High"
"Cheilopogon rapanouiensis","High"
"Cheilopogon spilonotopterus","High"
"Cheilopogon spilopterus","High"
"Cheilopogon suttoni","High"
"Cheilopogon unicolor","High"
"Cheilopogon ventralis","High"
"Cheilopogon xenopterus","High"
"Cheiloprion labiatus","High"
"Cheilotrema fasciatum","Medium"
"Cheilotrema saturnum","Medium"
"Cheimerius nufar","Low"
"Cheirocerus abuelo","High"
"Cheirocerus eques","High"
"Cheirocerus goeldii","High"
"Chela cachius","High"
"Chela khujairokensis","High"
"Chela macrolepis","High"
"Chelaethiops bibie","High"
"Chelaethiops congicus","High"
"Chelaethiops elongatus","High"
"Chelaethiops minutus","High"
"Chelaethiops rukwaensis","High"
"Chelidonichthys capensis","Low"
"Chelidonichthys cuculus","Medium"
"Chelidonichthys gabonensis","Medium"
"Chelidonichthys ischyrus","High"
"Chelidonichthys kumu","Medium"
"Chelidonichthys lastoviza","Medium"
"Chelidonichthys lucerna","Low"
"Chelidonichthys obscurus","Medium"
"Chelidonichthys queketti","Medium"
"Chelidonichthys spinosus","Medium"
"Chelidoperca hirundinacea","High"
"Chelidoperca investigatoris","High"
"Chelidoperca lecromi","High"
"Chelidoperca maculicauda","High"
"Chelidoperca margaritifera","High"
"Chelidoperca occipitalis","High"
"Chelidoperca pleurospilus","High"
"Chelidoperca santosi","High"
"Chelidoperca stella","High"
"Chelidoperca tosaensis","High"
"Chelmon marginalis","High"
"Chelmon muelleri","High"
"Chelmon rostratus","High"
"Chelmonops curiosus","High"
"Chelmonops truncatus","High"
"Chelon auratus","Medium"
"Chelon bandialensis","Low"
"Chelon bispinosus","High"
"Chelon dumerili","High"
"Chelon labrosus","Medium"
"Chelon parsia","High"
"Chelon planiceps","Medium"
"Chelon ramada","Low"
"Chelon richardsonii","Medium"
"Chelon saliens","Medium"
"Chelon tricuspidens","Low"
"Chelonodon dapsilis","High"
"Chelonodon laticeps","High"
"Chelonodon patoca","Medium"
"Chelonodon pleurospilus","High"
"Chendol keelini","High"
"Chendol lubricus","High"
"Cherublemma emmelas","Medium"
"Chesnonia verrucosa","Medium"
"Chetia brevicauda","Medium"
"Chetia brevis","Medium"
"Chetia flaviventris","Medium"
"Chetia gracilis","Medium"
"Chetia mola","Medium"
"Chetia welwitschi","Medium"
"Chiapaheros grammodes","High"
"Chilara taylori","Medium"
"Chilatherina alleni","Medium"
"Chilatherina axelrodi","Medium"
"Chilatherina bleheri","Medium"
"Chilatherina bulolo","Medium"
"Chilatherina campsi","Medium"
"Chilatherina crassispinosa","Medium"
"Chilatherina fasciata","Medium"
"Chilatherina lorentzii","Medium"
"Chilatherina pagwiensis","Medium"
"Chilatherina pricei","Medium"
"Chilatherina sentaniensis","Medium"
"Chilobrycon deuterodon","High"
"Chilochromis duponti","Medium"
"Chiloconger dentatus","High"
"Chiloconger philippinensis","High"
"Chilodus fritillus","High"
"Chilodus gracilis","High"
"Chilodus punctatus","High"
"Chilodus zunevei","High"
"Chiloglanis angolensis","High"
"Chiloglanis anoterus","High"
"Chiloglanis asymetricaudalis","High"
"Chiloglanis batesii","High"
"Chiloglanis benuensis","High"
"Chiloglanis bifurcus","Medium"
"Chiloglanis brevibarbis","High"
"Chiloglanis camarabounyi","High"
"Chiloglanis cameronensis","High"
"Chiloglanis carnosus","High"
"Chiloglanis congicus","High"
"Chiloglanis deckenii","High"
"Chiloglanis devosi","High"
"Chiloglanis dialloi","High"
"Chiloglanis disneyi","High"
"Chiloglanis elisabethianus","High"
"Chiloglanis emarginatus","Medium"
"Chiloglanis fasciatus","High"
"Chiloglanis harbinger","High"
"Chiloglanis igamba","High"
"Chiloglanis kabaensis","High"
"Chiloglanis kalambo","High"
"Chiloglanis kazumbei","High"
"Chiloglanis kerioensis","High"
"Chiloglanis kolente","High"
"Chiloglanis lamottei","High"
"Chiloglanis loffabrevum","High"
"Chiloglanis longibarbis","High"
"Chiloglanis lufirae","High"
"Chiloglanis lukugae","High"
"Chiloglanis macropterus","High"
"Chiloglanis marlieri","High"
"Chiloglanis mbozi","High"
"Chiloglanis micropogon","High"
"Chiloglanis microps","High"
"Chiloglanis modjensis","High"
"Chiloglanis neumanni","High"
"Chiloglanis niger","High"
"Chiloglanis niloticus","High"
"Chiloglanis normani","High"
"Chiloglanis nzerekore","High"
"Chiloglanis occidentalis","High"
"Chiloglanis orthodontus","High"
"Chiloglanis paratus","High"
"Chiloglanis pezoldi","High"
"Chiloglanis pojeri","High"
"Chiloglanis polyodon","High"
"Chiloglanis polypogon","High"
"Chiloglanis pretoriae","High"
"Chiloglanis productus","High"
"Chiloglanis reticulatus","High"
"Chiloglanis rukwaensis","High"
"Chiloglanis ruziziensis","High"
"Chiloglanis sanagaensis","High"
"Chiloglanis sardinhai","High"
"Chiloglanis somereni","High"
"Chiloglanis swierstrai","High"
"Chiloglanis trilobatus","High"
"Chiloglanis tweddlei","High"
"Chiloglanis voltae","High"
"Chiloglanis waterloti","High"
"Chilomycterus spinosus spinosus","Medium"
"Chiloscyllium arabicum","Low"
"Chiloscyllium burmensis","Low"
"Chiloscyllium caeruleopunctatum","Low"
"Chiloscyllium griseum","Low"
"Chiloscyllium hasseltii","Low"
"Chiloscyllium indicum","Low"
"Chiloscyllium plagiosum","Low"
"Chiloscyllium punctatum","Low"
"Chilotilapia rhoadesii","High"
"Chimaera argiloba","Medium"
"Chimaera bahamaensis","Medium"
"Chimaera buccanigella","Medium"
"Chimaera carophila","Low"
"Chimaera cubana","Low"
"Chimaera didierae","High"
"Chimaera fulva","Low"
"Chimaera jordani","Low"
"Chimaera lignaria","Low"
"Chimaera macrospina","Low"
"Chimaera monstrosa","Low"
"Chimaera notafricana","Medium"
"Chimaera obscura","Medium"
"Chimaera opalescens","Low"
"Chimaera orientalis","High"
"Chimaera owstoni","Low"
"Chimaera panthera","Low"
"Chimaera phantasma","Low"
"Chimaera willwatchi","Medium"
"Chimarrichthys longus","Medium"
"Chindongo ater","High"
"Chindongo bellicosus","High"
"Chindongo cyaneus","High"
"Chindongo demasoni","High"
"Chindongo elongatus","High"
"Chindongo flavus","High"
"Chindongo heteropictus","High"
"Chindongo longior","Medium"
"Chindongo minutus","High"
"Chindongo saulosi","High"
"Chindongo socolofi","High"
"Chionobathyscus dewitti","Medium"
"Chionodraco hamatus","Medium"
"Chionodraco myersi","Medium"
"Chionodraco rastrospinosus","Medium"
"Chirocentrodon bleekerianus","High"
"Chirocentrus dorab","Medium"
"Chirocentrus nudus","Medium"
"Chirodactylus brachydactylus","Medium"
"Chirodactylus grandis","Very low"
"Chirodactylus jessicalenorum","Low"
"Chirolophis ascanii","Medium"
"Chirolophis decoratus","Low"
"Chirolophis japonicus","Very low"
"Chirolophis nugator","Medium"
"Chirolophis saitone","Medium"
"Chirolophis snyderi","Medium"
"Chirolophis tarsodes","Medium"
"Chirolophis wui","Medium"
"Chirophryne xenolophus","High"
"Chirostoma aculeatum","High"
"Chirostoma arge","High"
"Chirostoma attenuatum","Medium"
"Chirostoma bartoni","High"
"Chirostoma chapalae","High"
"Chirostoma charari","High"
"Chirostoma compressum","High"
"Chirostoma consocium","High"
"Chirostoma contrerasi","High"
"Chirostoma copandaro","High"
"Chirostoma estor","Medium"
"Chirostoma grandocule","Medium"
"Chirostoma humboldtianum","Low"
"Chirostoma jordani","High"
"Chirostoma labarcae","High"
"Chirostoma lucius","High"
"Chirostoma melanoccus","High"
"Chirostoma patzcuaro","Medium"
"Chirostoma promelas","High"
"Chirostoma reseratum","High"
"Chirostoma riojai","High"
"Chirostoma sphyraena","High"
"Chirostoma zirahuen","High"
"Chirostomias pliopterus","Medium"
"Chitala blanci","Low"
"Chitala borneensis","Medium"
"Chitala chitala","Medium"
"Chitala hypselonotus","Low"
"Chitala lopis","Very low"
"Chitala ornata","Low"
"Chitonotus pugetensis","Medium"
"Chlamydogobius eremius","High"
"Chlamydogobius gloveri","High"
"Chlamydogobius japalpa","High"
"Chlamydogobius micropterus","High"
"Chlamydogobius ranunculus","High"
"Chlamydogobius squamigenus","High"
"Chlamydoselachus africana","Low"
"Chlamydoselachus anguineus","Very low"
"Chlidichthys abruptus","High"
"Chlidichthys auratus","High"
"Chlidichthys bibulus","High"
"Chlidichthys cacatuoides","High"
"Chlidichthys chagosensis","High"
"Chlidichthys clibanarius","High"
"Chlidichthys foudioides","High"
"Chlidichthys inornatus","High"
"Chlidichthys johnvoelckeri","High"
"Chlidichthys pembae","High"
"Chlidichthys randalli","High"
"Chlidichthys rubiceps","High"
"Chlidichthys smithae","High"
"Chlorophthalmus agassizi","Medium"
"Chlorophthalmus ichthyandri","Medium"
