"","type","class","order","family","genus","species","species_saup","comm_name","resilience","habitat"
"105","fish","Actinopterygii","Clupeiformes","Pristigasteridae","Pellona","Pellona ditchela","Pellona ditchela","Indian pellona","High","pelagic"
"106","invert","Malacostraca","Decapoda","Penaeidae","Penaeus","Penaeus semisulcatus","Penaeus semisulcatus","Green tiger prawn",NA,"benthic"
"107","fish","Actinopterygii","Perciformes","Sparidae","Petrus","Petrus rupestris","Petrus rupestris","Red steenbras","Low","demersal"
"108","fish","Actinopterygii","Scorpaeniformes","Platycephalidae","Platycephalus","Platycephalus indicus","Platycephalus indicus","Bartail flathead","Medium","reef-associated"
"109","fish","Actinopterygii","Perciformes","Serranidae","Plectropomus","Plectropomus laevis","Plectropomus laevis","Blacksaddled coralgrouper","Medium","reef-associated"
"110","fish","Actinopterygii","Perciformes","Serranidae","Plectropomus","Plectropomus pessuliferus","Plectropomus pessuliferus","Roving coralgrouper","Low","reef-associated"
"111","fish","Actinopterygii","Siluriformes","Plotosidae","Plotosus","Plotosus lineatus","Plotosus lineatus","Striped eel catfish","Medium","reef-associated"
"112","fish","Actinopterygii","Perciformes","Polyprionidae","Polyprion","Polyprion americanus","Polyprion americanus","Wreckfish","Low","demersal"
"113","fish","Actinopterygii","Perciformes","Haemulidae","Pomadasys","Pomadasys argenteus","Pomadasys argenteus","Silver grunt","Medium","demersal"
"114","fish","Actinopterygii","Perciformes","Haemulidae","Pomadasys","Pomadasys stridens","Pomadasys stridens","Striped piggy","Medium","reef-associated"
"115","fish","Actinopterygii","Perciformes","Pomatomidae","Pomatomus","Pomatomus saltatrix","Pomatomus saltatrix","Bluefish","Medium","pelagic-oceanic"
"116","invert","Malacostraca","Decapoda","Portunidae","Portunus","Portunus pelagicus","Portunus pelagicus","Blue swimming crab",NA,"reef-associated"
"117","fish","Elasmobranchii","Carcharhiniformes","Carcharhinidae","Prionace","Prionace glauca","Prionace glauca","Blue shark","Low","pelagic-oceanic"
"118","fish","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides","Pristipomoides zonatus","Pristipomoides zonatus","Oblique-banded snapper","Medium","benthopelagic"
"119","fish","Actinopterygii","Pleuronectiformes","Psettodidae","Psettodes","Psettodes erumei","Psettodes erumei","Indian halibut","Medium","demersal"
"120","fish","Actinopterygii","Perciformes","Pentacerotidae","Pentaceros","Pentaceros richardsoni","Pseudopentaceros richardsoni","Pelagic armorhead","Medium","pelagic-oceanic"
"121","fish","Actinopterygii","Perciformes","Sparidae","Pterogymnus","Pterogymnus laniarius","Pterogymnus laniarius","Panga seabream","Low","benthopelagic"
"122","fish","Actinopterygii","Perciformes","Rachycentridae","Rachycentron","Rachycentron canadum","Rachycentron canadum","Cobia","Medium","reef-associated"
"123","fish","Elasmobranchii","Rajiformes","Rajidae","Raja","Raja miraletus","Raja miraletus","Brown ray","Low","demersal"
"124","invert","Malacostraca","Decapoda","Raninidae","Ranina","Ranina ranina","Ranina ranina","Kona crab ",NA,"reef-associated"
"125","fish","Actinopterygii","Perciformes","Scombridae","Rastrelliger","Rastrelliger kanagurta","Rastrelliger kanagurta","Indian mackerel","Medium","pelagic-neritic"
"126","fish","Actinopterygii","Perciformes","Sparidae","Rhabdosargus","Rhabdosargus globiceps","Rhabdosargus globiceps","White stumpnose","Medium","benthopelagic"
"127","fish","Actinopterygii","Perciformes","Gempylidae","Ruvettus","Ruvettus pretiosus","Ruvettus pretiosus","Oilfish","Low","benthopelagic"
"128","fish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda orientalis","Sarda orientalis","Striped bonito","Medium","pelagic-neritic"
"129","fish","Actinopterygii","Perciformes","Scombridae","Sarda","Sarda sarda","Sarda sarda","Atlantic bonito","Medium","pelagic-neritic"
"130","fish","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops sagax","Pacific sardine","Medium","pelagic-neritic"
"131","fish","Actinopterygii","Perciformes","Sparidae","Sarpa","Sarpa salpa","Sarpa salpa","Salema","Low","benthopelagic"
"132","fish","Actinopterygii","Perciformes","Scombridae","Scomberomorus","Scomberomorus commerson","Scomberomorus commerson","Narrowbarred Spanish mackerel","Medium","pelagic-neritic"
"133","invert","Malacostraca","Decapoda","Portunidae","Scylla","Scylla serrata","Scylla serrata","Indo-Pacific swamp crab",NA,"benthic"
"134","fish","Actinopterygii","Perciformes","Carangidae","Selar","Selar crumenophthalmus","Selar crumenophthalmus","Bigeye scad","High","reef-associated"
"135","invert","Cephalopoda","Sepiida","Sepiidae","Sepia","Sepia latimanus","Sepia latimanus","Broadclub cuttlefish",NA,"reef-associated"
"136","fish","Actinopterygii","Perciformes","Carangidae","Seriola","Seriola lalandi","Seriola lalandi","Yellowtail amberjack","Low","benthopelagic"
"137","fish","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena","Sphyraena barracuda","Sphyraena barracuda","Great barracuda","Low","reef-associated"
