"area_name","scientific_name","common_name","trawl_perc_rep","trawl_perc_tot","stockid"
"Agulhas Current","Gymnosarda unicolor","Dogtooth tuna",0,0,"Agulhas Current-Gymnosarda unicolor"
"Agulhas Current","Haemulidae","Grunts, sweetlips, bonnetmouths",0,0,"Agulhas Current-Haemulidae"
"Agulhas Current","Haliotis","Abalones",NA,NA,"Agulhas Current-Haliotis"
"Agulhas Current","Haliotis midae","Perlemoen abalone",0,0,"Agulhas Current-Haliotis midae"
"Agulhas Current","Haliporoides triarthrus","Knife shrimp",100,100,"Agulhas Current-Haliporoides triarthrus"
"Agulhas Current","Helicolenus dactylopterus","Blackbelly rosefish",0,0,"Agulhas Current-Helicolenus dactylopterus"
"Agulhas Current","Hemiramphidae","Halfbeaks, garfishes",0,0,"Agulhas Current-Hemiramphidae"
"Agulhas Current","Hexanchus griseus","Bluntnose sixgill shark",0,0,"Agulhas Current-Hexanchus griseus"
"Agulhas Current","Holocentridae","Squirrel-, soldierfishes",NA,NA,"Agulhas Current-Holocentridae"
"Agulhas Current","Holothuriidae","Fleshy sea cucumbers",0,0,"Agulhas Current-Holothuriidae"
"Agulhas Current","Hoplostethus atlanticus","Orange roughy",0,0,"Agulhas Current-Hoplostethus atlanticus"
"Agulhas Current","Hoplostethus mediterraneus mediterraneus","Mediterranean slimehead",0,0,"Agulhas Current-Hoplostethus mediterraneus mediterraneus"
"Agulhas Current","Hyperoglyphe antarctica","Bluenose warehou",0,0,"Agulhas Current-Hyperoglyphe antarctica"
"Agulhas Current","Inermiidae","Bonnetmouths",100,100,"Agulhas Current-Inermiidae"
"Agulhas Current","Istiompax indica","Black marlin",0,0,"Agulhas Current-Istiompax indica"
"Agulhas Current","Istiophoridae","Billfishes",0,0,"Agulhas Current-Istiophoridae"
"Agulhas Current","Istiophorus albicans","Atlantic sailfish",0,0,"Agulhas Current-Istiophorus albicans"
"Agulhas Current","Istiophorus platypterus","Indo-Pacific sailfish",0,0,"Agulhas Current-Istiophorus platypterus"
"Agulhas Current","Isurus","Mako sharks",0,0,"Agulhas Current-Isurus"
"Agulhas Current","Isurus oxyrinchus","Shortfin mako",0,0,"Agulhas Current-Isurus oxyrinchus"
"Agulhas Current","Isurus paucus","Longfin mako",0,0,"Agulhas Current-Isurus paucus"
"Agulhas Current","Jasus lalandii","Cape rock lobster",0,0,"Agulhas Current-Jasus lalandii"
"Agulhas Current","Kajikia albida","Atlantic white marlin",0,0,"Agulhas Current-Kajikia albida"
"Agulhas Current","Kajikia audax","Striped marlin",0,0,"Agulhas Current-Kajikia audax"
"Agulhas Current","Katsuwonus pelamis","Skipjack tuna",0,0,"Agulhas Current-Katsuwonus pelamis"
"Agulhas Current","Kyphosidae","Sea chubs, knifefishes, niblers",NA,NA,"Agulhas Current-Kyphosidae"
"Agulhas Current","Kyphosus cinerascens","Blue seachub",0,0,"Agulhas Current-Kyphosus cinerascens"
"Agulhas Current","Labridae","Wrasses, gropers, tuskfishes",0,0,"Agulhas Current-Labridae"
"Agulhas Current","Lambis","Spider conches",NA,NA,"Agulhas Current-Lambis"
"Agulhas Current","Lamna nasus","Porbeagle",0,0,"Agulhas Current-Lamna nasus"
"Agulhas Current","Lampanyctodes hectoris","Hectors lanternfish",0,0,"Agulhas Current-Lampanyctodes hectoris"
"Agulhas Current","Leiognathidae","Slipmouths, ponyfishes",0,0,"Agulhas Current-Leiognathidae"
"Agulhas Current","Leiognathus equulus","Common ponyfish",NA,NA,"Agulhas Current-Leiognathus equulus"
"Agulhas Current","Lepidocybium flavobrunneum","Escolar",21.2537851822677,21.2537851822677,"Agulhas Current-Lepidocybium flavobrunneum"
"Agulhas Current","Lepidopus caudatus","Silver scabbardfish",0,0,"Agulhas Current-Lepidopus caudatus"
"Agulhas Current","Lethrinidae","Emperors, scavengers",16.6666666666667,16.6666666666667,"Agulhas Current-Lethrinidae"
"Agulhas Current","Lethrinus","Emperors",0,0,"Agulhas Current-Lethrinus"
"Agulhas Current","Lethrinus harak","Thumbprint emperor",0,0,"Agulhas Current-Lethrinus harak"
"Agulhas Current","Lethrinus lentjan","Pink ear emperor",0,0,"Agulhas Current-Lethrinus lentjan"
"Agulhas Current","Lethrinus mahsena","Sky emperor",0,0,"Agulhas Current-Lethrinus mahsena"
"Agulhas Current","Lethrinus nebulosus","Spangled emperor",0,0,"Agulhas Current-Lethrinus nebulosus"
"Agulhas Current","Lethrinus obsoletus","Orangestriped emperor",0,0,"Agulhas Current-Lethrinus obsoletus"
"Agulhas Current","Lethrinus rubrioperculatus","Spotcheek emperor",0,0,"Agulhas Current-Lethrinus rubrioperculatus"
"Agulhas Current","Lobotes surinamensis","Tripletail",0,0,"Agulhas Current-Lobotes surinamensis"
"Agulhas Current","Loliginidae","Common pencil squids",0,0,"Agulhas Current-Loliginidae"
"Agulhas Current","Loligo","Common squids",0,0,"Agulhas Current-Loligo"
"Agulhas Current","Loligo vulgaris","European squid",0,0,"Agulhas Current-Loligo vulgaris"
"Agulhas Current","Lophiidae","Goosefishes",0,0,"Agulhas Current-Lophiidae"
"Agulhas Current","Lophius vomerinus","Devil anglerfish",0,0,"Agulhas Current-Lophius vomerinus"
"Agulhas Current","Lutjanidae","Snappers",44.4444444444444,44.4444444444444,"Agulhas Current-Lutjanidae"
"Agulhas Current","Lutjanus","Snappers",0,0,"Agulhas Current-Lutjanus"
"Agulhas Current","Lutjanus bohar","Two-spot red snapper",0,0,"Agulhas Current-Lutjanus bohar"
"Agulhas Current","Lutjanus gibbus","Humpback red snapper",0,0,"Agulhas Current-Lutjanus gibbus"
"Agulhas Current","Lutjanus kasmira","Common bluestripe snapper",0,0,"Agulhas Current-Lutjanus kasmira"
"Agulhas Current","Macolor niger","Black and white snapper",0,0,"Agulhas Current-Macolor niger"
"Agulhas Current","Makaira","Blue marlins",0,0,"Agulhas Current-Makaira"
"Agulhas Current","Malacostraca","Lobsters, crabs, shrimps, krill",0,0,"Agulhas Current-Malacostraca"
"Agulhas Current","Marine finfishes not identified","Finfishes",42.1823153650761,42.1823153650761,"Agulhas Current-Marine finfishes not identified"
"Agulhas Current","Marine fishes not identified","Marine fishes nei",7.0580295587902,7.0580295587902,"Agulhas Current-Marine fishes not identified"
"Agulhas Current","Marine groundfishes not identified","Groundfishes",NA,NA,"Agulhas Current-Marine groundfishes not identified"
"Agulhas Current","Marine pelagic fishes not identified","Pelagic fishes",16.6666666666667,16.6666666666667,"Agulhas Current-Marine pelagic fishes not identified"
"Agulhas Current","Merluccius","Hakes",96.7640895598914,96.7640895598914,"Agulhas Current-Merluccius"
"Agulhas Current","Merluccius capensis","Shallow-water Cape hake",NA,NA,"Agulhas Current-Merluccius capensis"
"Agulhas Current","Metanephrops","Scampi",100,100,"Agulhas Current-Metanephrops"
"Agulhas Current","Metanephrops mozambicus","Mozambique lobster",100,100,"Agulhas Current-Metanephrops mozambicus"
"Agulhas Current","Metapenaeus monoceros","Speckled shrimp",100,100,"Agulhas Current-Metapenaeus monoceros"
"Agulhas Current","Miscellaneous aquatic invertebrates","Aquatic invertebrates",0,0,"Agulhas Current-Miscellaneous aquatic invertebrates"
"Agulhas Current","Miscellaneous marine crustaceans","Marine crabs, shrimps, lobsters nei",0,0,"Agulhas Current-Miscellaneous marine crustaceans"
