"source","stockid","lme","comm_name","species","year","biomass_mt","er","bbmsy","uumsy","msy_mt","bmsy_mt","umsy","r","k_mt"
"SAUP","Caribbean Sea-Lutjanus","Caribbean Sea","Snappers",NA,2014,41474.8517497011,0.0601625563093781,0.84704151545531,1.34756588373068,2186.03151880851,48964.3671448702,0.0446453542908199,0.0535744251489839,121839.014053923
"SAUP","Caribbean Sea-Lutjanus analis","Caribbean Sea","Mutton snapper","Lutjanus analis",2014,16442.7302958268,0.0357605502365405,0.944145106455578,0.328471878076016,1896.0124539312,17415.4694902297,0.10886944248014,0.130643330976168,43335.2610419284
"SAUP","Caribbean Sea-Lutjanus apodus","Caribbean Sea","Schoolmaster snapper","Lutjanus apodus",2014,729.651804639912,0.233495583312617,1.45788147614447,0.554661963617159,210.689905511039,500.487739627201,0.420969164335526,0.505162997202631,1245.37365226916
"SAUP","Caribbean Sea-Lutjanus campechanus","Caribbean Sea","Northern red snapper","Lutjanus campechanus",2014,5486.28698277399,0.167704310686731,1.62754459655285,0.568407227972686,994.558326984001,3370.89809667519,0.295042537169831,0.354051044603797,8387.8731519188
"SAUP","Caribbean Sea-Lutjanus griseus","Caribbean Sea","Grey snapper","Lutjanus griseus",2014,1571.37970686453,0.194601683360012,0.850566720202308,0.70779870544649,507.936687938997,1847.45025821229,0.274939303876311,0.329927164651573,4597.0474265148
"SAUP","Caribbean Sea-Lutjanus jocu","Caribbean Sea","Dog snapper","Lutjanus jocu",2014,365.89566987773,0.144814289042575,1.36333865120308,0.55422766272251,70.1256242812948,268.382085078308,0.261290258106586,0.313548309727903,667.820509942056
"SAUP","Caribbean Sea-Lutjanus purpureus","Caribbean Sea","Southern red snapper","Lutjanus purpureus",2014,14852.6695115204,0.0653515089269725,0.945519307315969,0.288708616977207,3555.73993575451,15708.4782897586,0.226358013180229,0.271629615816275,39087.720697972
"SAUP","Caribbean Sea-Lutjanus synagris","Caribbean Sea","Lane snapper","Lutjanus synagris",2014,39419.5962626418,0.0679982604925812,0.962468219404169,0.580531661831396,4797.30870282106,40956.7770321239,0.11713101104265,0.14055721325118,101913.567424575
"SAUP","Caribbean Sea-Lutjanus vivanus","Caribbean Sea","Silk snapper","Lutjanus vivanus",2014,2366.78161078519,0.0991800381623823,1.34983418692205,0.492477943409345,353.114254569851,1753.38692242047,0.20138980738056,0.241667768856672,4362.9877467973
"SAUP","Caribbean Sea-Macrodon ancylodon","Caribbean Sea","King weakfish","Macrodon ancylodon",2014,24254.562994912,0,0.552788046220308,0,6407.38676371857,43876.7863392718,0.146031359593527,0.175237631512233,109179.484983737
"SAUP","Caribbean Sea-Makaira nigricans","Caribbean Sea","Blue marlin","Makaira nigricans",2014,17401.4882120543,0.0836714132405754,1.90322715187831,0.372294007336446,2054.88170547622,9143.14835981648,0.224745527974509,0.269694633569411,22751.0789266985
"SAUP","Caribbean Sea-Malacanthidae","Caribbean Sea","Tilefishes",NA,2014,423.649266897155,0.101807579746551,1.61091783059261,0.485014672342989,55.2024441492833,262.98626711538,0.209906185424748,0.251887422509698,654.393988188542
"SAUP","Caribbean Sea-Malacostraca","Caribbean Sea","Lobsters, crabs, shrimps, krill",NA,2014,2442.36078132667,0.0473967765458549,0.993748290422841,1.00792481465702,115.572389322048,2457.72576905511,0.0470241191174397,0.0564289429409276,6115.6081856552
"SAUP","Caribbean Sea-Marine finfishes not identified","Caribbean Sea","Finfishes",NA,2014,316673.121472522,0.0460444977397689,0.987905544464685,0.64147246214047,23008.8812599749,320549.999184504,0.07177938330529,0.086135259966348,797630.973970785
"SAUP","Caribbean Sea-Marine fishes not identified","Caribbean Sea","Marine fishes nei",NA,2014,1077895.17400233,0.0440507909959809,1.04959151734444,0.655165230212727,69049.2690150623,1026966.35423417,0.0672361550408863,0.0806833860490636,2555420.91856796
"SAUP","Caribbean Sea-Marine pelagic fishes not identified","Caribbean Sea","Pelagic fishes",NA,2014,57076.7606497305,0.00282583850499865,0.661956841754912,0.109229186156576,2230.68518299428,86224.2929590613,0.0258707274532642,0.031044872943917,214553.632655891
"SAUP","Caribbean Sea-Megalops atlanticus","Caribbean Sea","Tarpon","Megalops atlanticus",2014,8143.30510877522,0.0404662328222481,0.841472948984541,0.933236760158099,419.625127711139,9677.44134686951,0.0433611646581439,0.0520333975897727,24080.5708522423
"SAUP","Caribbean Sea-Menippe mercenaria","Caribbean Sea","Black stone crab","Menippe mercenaria",2014,3131.07121760121,0.022597283015174,0.74945091860324,1.16271237328429,81.1958215534418,4177.82024129962,0.0194349725128872,0.0233219670154646,10395.7536628307
"SAUP","Caribbean Sea-Menticirrhus americanus","Caribbean Sea","Southern kingcroaker","Menticirrhus americanus",2014,715.296405242672,0.204541778557049,1.65923388702048,0.547787067709947,160.971387122985,431.100407747304,0.37339650863272,0.448075810359264,1072.71576660577
"SAUP","Caribbean Sea-Menticirrhus littoralis","Caribbean Sea","Gulf kingcroaker","Menticirrhus littoralis",2014,538.763833079191,0.0881840321902539,0.883313270336794,0.785021752737064,68.5159905626299,609.935173818648,0.112333233929876,0.134799880715851,1517.71389171642
"SAUP","Caribbean Sea-Mercenaria mercenaria","Caribbean Sea","Northern quahog","Mercenaria mercenaria",2014,6324.87906713359,0.0562046979787561,1.24904868338328,1.3604498473021,209.200608009248,5063.75704268105,0.0413133185984146,0.0495759823180976,12600.2479244441
"SAUP","Caribbean Sea-Merluccius bilinearis","Caribbean Sea","Silver hake","Merluccius bilinearis",2014,8.49153416665663,0,0.720356446542696,0,0.168585183327185,11.7879616506678,0.0143014702900425,0.0171617643480509,29.3322207345897
"SAUP","Caribbean Sea-Micropogonias furnieri","Caribbean Sea","Whitemouth croaker","Micropogonias furnieri",2014,61818.4297156244,0.0226199473381217,0.663907952120156,0.697035428205652,3021.66862746564,93112.9526588896,0.0324516465344541,0.0389419758413449,231694.822360168
"SAUP","Caribbean Sea-Micropogonias undulatus","Caribbean Sea","Atlantic croaker","Micropogonias undulatus",2014,6500.82904748417,0.116846280722805,1.24561585398646,0.492804828400033,1237.44115894508,5218.96781152789,0.237104577692886,0.284525493231463,12986.4619847811
"SAUP","Caribbean Sea-Miscellaneous aquatic invertebrates","Caribbean Sea","Aquatic invertebrates",NA,2014,3772.27291171793,0.0448931233820453,0.950051079597651,0.812973048886633,219.260208486771,3970.60010006567,0.0552209245355998,0.0662651094427198,9880.1236409954
"SAUP","Caribbean Sea-Miscellaneous marine crustaceans","Caribbean Sea","Marine crabs, shrimps, lobsters nei",NA,2014,73538.9706644458,0.0353380502049129,0.740372317983918,0.577139916842771,6081.75393982259,99327.0127450162,0.0612296068485935,0.0734755282183123,247157.392353679
"SAUP","Caribbean Sea-Mollusca","Caribbean Sea","Clams, seasnails, squids, octopuses",NA,2014,56796.918260009,0.0474406699175103,1.08204158520506,0.746300694898555,3336.70480822304,52490.5133375674,0.0635677686511586,0.0762813223813904,130613.194148136
"SAUP","Caribbean Sea-Monacanthidae","Caribbean Sea","Filefishes",NA,2014,1334.24199543509,0.361524212650499,1.66097747683837,0.636870109840524,455.992169591975,803.287229381812,0.567657685710868,0.681189222853042,1998.83567861535
"SAUP","Caribbean Sea-Morone saxatilis","Caribbean Sea","Striped bass","Morone saxatilis",2014,26.9413082282582,0.0298265350625088,0.79118070656483,0.136390562660955,7.44665915279276,34.0520288281962,0.218684742408848,0.262421690890618,84.732344373777
"SAUP","Caribbean Sea-Mugil","Caribbean Sea","Grey mullets",NA,2014,92529.2531230355,0.000649701550671371,0.558612747695548,0.0290822116943248,3700.45124307923,165641.141389536,0.022340169912117,0.0268082038945404,412168.16494241
"SAUP","Caribbean Sea-Mugil cephalus","Caribbean Sea","Flathead grey mullet","Mugil cephalus",2014,11754.7717450563,0.145373649351795,1.7734609938694,0.627196649108467,1536.29466666335,6628.15352899831,0.231783204770684,0.278139845724821,16492.9669892771
"SAUP","Caribbean Sea-Mugil curema","Caribbean Sea","White mullet","Mugil curema",2014,1817.31840882958,0.208056497758593,1.66308000737205,0.494536994258951,459.727392786663,1092.7426225881,0.420709674248656,0.504851609098387,2719.09332263843
"SAUP","Caribbean Sea-Mugil liza","Caribbean Sea","Lebranche mullet","Mugil liza",2014,28253.6536171779,0.0846753902229428,0.944070343324784,0.533978950980839,4745.73332407789,29927.4877311319,0.158574397113232,0.190289276535879,74469.1662711301
"SAUP","Caribbean Sea-Mugilidae","Caribbean Sea","Mullets, grey mullets",NA,2014,65263.5551906094,0.0546377149615638,0.954071086599658,3.09230251138849,1208.64997773506,68405.3380374527,0.017668942401444,0.0212027308817328,170214.370745354
"SAUP","Caribbean Sea-Mullidae","Caribbean Sea","Goatfishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Mulloidichthys martinicus","Caribbean Sea","Yellow goatfish","Mulloidichthys martinicus",2014,1886.89129450784,0.278067193635314,1.88639297592591,0.316305914766416,879.340651594275,1000.26416477812,0.879108422113004,1.05493010653561,2488.97732650069
"SAUP","Caribbean Sea-Muraenidae","Caribbean Sea","Moray eels",NA,2014,5539.96820574158,0.0641487773330332,1.38081089646024,0.58551861405212,439.562610339345,4012.11217259619,0.109558903497683,0.131470684197219,9983.41896131455
"SAUP","Caribbean Sea-Mustelus","Caribbean Sea","Smoothhounds",NA,2014,1482.80859556661,0,0.598883859868723,0,103.688526873709,2475.9535110725,0.0418782204148876,0.0502538644978651,6160.96464067191
"SAUP","Caribbean Sea-Mycteroperca","Caribbean Sea","Scamps, gags",NA,2014,7818.94968792876,0.28617618141003,1.89730247960679,0.79627706918146,1481.0888735925,4121.08758195964,0.359392719552012,0.431271263462414,10254.5846519418
"SAUP","Caribbean Sea-Mycteroperca acutirostris","Caribbean Sea","Comb grouper","Mycteroperca acutirostris",2014,403.48890734841,0,0.644434165364397,0,76.0602679160071,626.113463615413,0.121480006957216,0.145776008348659,1557.9706537835
"SAUP","Caribbean Sea-Mycteroperca bonaci","Caribbean Sea","Black grouper","Mycteroperca bonaci",2014,1592.71288194431,0.065287552680971,1.15277340610119,0.562532433728227,160.352732711106,1381.63569138106,0.11606006830268,0.139272081963216,3437.95172357731
"SAUP","Caribbean Sea-Mycteroperca interstitialis","Caribbean Sea","Yellowmouth grouper","Mycteroperca interstitialis",2014,33.4425476276441,0.000329466032991224,0.673289753978023,0.0027497649308554,5.95130799389815,49.6703646981917,0.119816072019194,0.143779286423033,123.595761885804
"SAUP","Caribbean Sea-Mycteroperca microlepis","Caribbean Sea","Gag","Mycteroperca microlepis",2014,1853.90218852865,0.0788032732162356,1.23231688778744,0.532680924279808,222.557138766451,1504.40378355702,0.147937103854017,0.17752452462482,3743.43802270061
"SAUP","Caribbean Sea-Mycteroperca phenax","Caribbean Sea","Scamp","Mycteroperca phenax",2014,295.517632056698,0.112492101256151,1.10153957311182,0.658550945561299,45.8264215395097,268.276909218856,0.17081761405759,0.204981136869108,667.558798747464
"SAUP","Caribbean Sea-Mycteroperca tigris","Caribbean Sea","Tiger grouper","Mycteroperca tigris",2014,22.8358375334889,0,0.609013848541369,0,6.12825681574557,37.4964175087025,0.163435795281596,0.196122954337916,93.3030856152546
"SAUP","Caribbean Sea-Mycteroperca venenosa","Caribbean Sea","Yellowfin grouper","Mycteroperca venenosa",2014,814.784661083158,0.0881615599789362,1.11400501107525,0.495896039561775,130.030228720218,731.401253120681,0.177782343365446,0.213338812038535,1819.96036616525
"SAUP","Caribbean Sea-Myliobatidae","Caribbean Sea","Eagle/manta rays",NA,2014,540.817833131767,0.155297682797263,1.65322557483452,0.505145986363678,100.569654399905,327.128881481223,0.307431291130672,0.368917549356807,814.001338367356
"SAUP","Caribbean Sea-Myripristis jacobus","Caribbean Sea","Blackbar soldierfish","Myripristis jacobus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Mytilidae","Caribbean Sea","Sea mussels",NA,2014,6071.24741979202,0,0.635053285609666,0,334.384620900052,9560.21731934429,0.0349766757104415,0.0419720108525298,23788.8799600708
"SAUP","Caribbean Sea-Negaprion brevirostris","Caribbean Sea","Lemon shark","Negaprion brevirostris",2014,1408.11453613499,0.0990905804950256,1.43527965370907,0.538158042184003,180.644187179182,981.073292926662,0.184129145581263,0.220954974697515,2441.22429625527
"SAUP","Caribbean Sea-Neoniphon marianus","Caribbean Sea","Longjaw squirrelfish","Neoniphon marianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Octopoda","Caribbean Sea","Octopuses, argonauts",NA,2014,39.8630513151102,0.329288531791955,0.938067811393307,0.654099537517942,21.3928708033518,42.4948504052195,0.503422664142952,0.604107196971542,105.740786160316
"SAUP","Caribbean Sea-Octopodidae","Caribbean Sea","Octopuses",NA,2014,419.159587619703,0.235769198620985,1.45577446873469,0.551661380555608,123.055149202108,287.928931728019,0.427380286043459,0.512856343252151,716.459319397463
"SAUP","Caribbean Sea-Octopus","Caribbean Sea","Octopuses, pikas",NA,2014,2581.19626817575,0.202713766006101,0.844206472991888,0.343638418578612,1803.65670673784,3057.54143181102,0.589904257051886,0.707885108462263,7608.141495604
"SAUP","Caribbean Sea-Octopus maya","Caribbean Sea","Mexican foureyed octopus","Octopus maya",2014,4466.12252516457,0.331300248539213,1.74913538014648,0.693634025037224,1219.54711220089,2553.33153502992,0.477629753703956,0.573155704444748,6353.50592524566
"SAUP","Caribbean Sea-Octopus vulgaris","Caribbean Sea","Common octopus","Octopus vulgaris",2014,3945.02534771014,0.332330721852292,1.55507258017628,0.638090790076779,1321.25653661395,2536.87538318175,0.520820433425005,0.624984520110007,6312.55775347881
"SAUP","Caribbean Sea-Ocyurus chrysurus","Caribbean Sea","Yellowtail snapper","Ocyurus chrysurus",2014,14854.2034225335,0.205105985120727,1.58274503760559,0.522108783333042,3686.85231032591,9385.08924027666,0.392841476083527,0.471409771300233,23353.1052583652
"SAUP","Caribbean Sea-Ogcocephalus","Caribbean Sea","Batfishes",NA,2014,738.457355881477,0.0025030436188067,0.579935273151973,0.0760921276795471,41.8865495469113,1273.34444043717,0.0328949090416813,0.0394738908500176,3168.48843802862
"SAUP","Caribbean Sea-Ophidiidae","Caribbean Sea","Cuskeels",NA,2014,10996.6865911343,0.0155442687251549,0.666392353285847,0.145033756238137,1768.61393860364,16501.8198917078,0.107176902318052,0.128612282781662,41061.8084729342
"SAUP","Caribbean Sea-Opisthonema oglinum","Caribbean Sea","Atlantic thread herring","Opisthonema oglinum",2014,83937.259193803,0.0336327015230409,0.641201625234444,1.02051992491085,4314.20158744554,130906.185964692,0.0329564378921647,0.0395477254705976,325736.480659663
"SAUP","Caribbean Sea-Orthopristis chrysoptera","Caribbean Sea","Pigfish","Orthopristis chrysoptera",2014,52.3049527445528,0.161969274238228,1.27385842679898,0.656635817621261,10.1281404991156,41.0602557114511,0.246665305016379,0.295998366019655,102.171055491918
"SAUP","Caribbean Sea-Ostraciidae","Caribbean Sea","Box-, cow-, trunkfishes",NA,2014,4607.8030466859,0.242219444634171,1.57331711288676,0.496354754770522,1429.20477532471,2928.71857106504,0.487996623999614,0.585595948799537,7287.58899475256
"SAUP","Caribbean Sea-Pagrus pagrus","Caribbean Sea","Red porgy","Pagrus pagrus",2014,73.7588990290047,0.082873005909379,1.04822106889744,0.726422681386148,8.02759098514534,70.3657856320207,0.114083725677786,0.136900470813343,175.09259170387
"SAUP","Caribbean Sea-Palinuridae","Caribbean Sea","Spiny lobsters",NA,2014,9819.23358633249,0.215973093688953,1.92101305007628,0.313877234925824,3517.1193629413,5111.48718429714,0.688081420559195,0.825697704671034,12719.0157904303
"SAUP","Caribbean Sea-Panulirus","Caribbean Sea","Spiny lobsters",NA,2014,4447.06416540586,0.309081974358617,1.10108228494161,0.453846147253708,2750.54430680681,4038.81183652109,0.681028088987687,0.817233706785225,10049.8562690522
"SAUP","Caribbean Sea-Panulirus argus","Caribbean Sea","Caribbean spiny lobster","Panulirus argus",2014,79430.992994865,0.331703907430384,1.60851814525675,0.485506285995487,33738.0329225805,49381.4715296148,0.683212384676452,0.819854861611742,122876.903236571
"SAUP","Caribbean Sea-Paranthias furcifer","Caribbean Sea","Creolefish","Paranthias furcifer",2014,2.25572033008921,0.088683080624666,0.841055273034044,0.307490812795049,0.773516072752761,2.68201199423181,0.288408879011861,0.346090654814233,6.67370408548689
"SAUP","Caribbean Sea-Pectinidae","Caribbean Sea","Scallops",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Pempheridae","Caribbean Sea","Sweepers",NA,2014,644.059137176182,0.269577388155438,1.57909662522443,0.51182504966449,214.822103359295,407.86556496164,0.52669830898693,0.632037970784316,1014.90004260535
"SAUP","Caribbean Sea-Penaeidae","Caribbean Sea","Commercial shrimps and prawns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Peprilus paru","Caribbean Sea","American harvestfish","Peprilus paru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Perciformes","Caribbean Sea","Perch-likes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Pleoticus robustus","Caribbean Sea","Royal red shrimp","Pleoticus robustus",2014,127.495051842104,0.395561383261035,1.41961292037366,0.586899323478314,60.5304168229696,89.8097291257011,0.673985072800397,0.808782087360477,223.475345178064
"SAUP","Caribbean Sea-Pleuronectiformes","Caribbean Sea","Flatfishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Pogonias cromis","Caribbean Sea","Black drum","Pogonias cromis",2014,879.422839885314,0.138033783978172,1.02798250229645,1.02165380641089,115.582918016021,855.484249897971,0.135108177654709,0.162129813185651,2128.71856870612
"SAUP","Caribbean Sea-Pomacentridae","Caribbean Sea","Damselfishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Haemulopsis corvinaeformis","Caribbean Sea","Roughneck grunt","Haemulopsis corvinaeformis",2014,19.496663193044,0.235091390183901,1.2990049201671,0.522982550535204,6.7468183681499,15.0089217449122,0.44952052404677,0.539424628856124,37.3470001562999
"SAUP","Caribbean Sea-Pomatomus saltatrix","Caribbean Sea","Bluefish","Pomatomus saltatrix",2014,8830.86889594325,0.0556547672618238,0.671282191428413,0.482526316791413,1517.32871833188,13155.2259373247,0.115340376939238,0.138408452327086,32734.4118043639
"SAUP","Caribbean Sea-Portunidae","Caribbean Sea","Swimming crabs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Priacanthidae","Caribbean Sea","Bigeyes, catalufas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Priacanthus","Caribbean Sea","Bigeyes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Priacanthus arenatus","Caribbean Sea","Atlantic bigeye","Priacanthus arenatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Prionace glauca","Caribbean Sea","Blue shark","Prionace glauca",2014,4222.66260858586,0.122659485072088,1.05136535706388,2.74528124305196,179.451467521398,4016.36080189895,0.0446801162476619,0.0536161394971943,9993.99091058118
"SAUP","Caribbean Sea-Prionotus","Caribbean Sea","Saw-back searobins",NA,2014,4630.5047537529,0.00213042804061582,0.670673400977942,0.0655614617159678,224.354866239432,6904.2618165577,0.0324951272417549,0.0389941526901058,17180.0127633769
"SAUP","Caribbean Sea-Pristidae","Caribbean Sea","Sawfishes",NA,2014,0.0103593861133067,0,0.665207216816987,0,0.000168527245494166,0.0155731715643079,0.0108216393043799,0.0129859671652559,0.0387510342668986
"SAUP","Caribbean Sea-Pristipomoides macrophthalmus","Caribbean Sea","Cardinal snapper","Pristipomoides macrophthalmus",2014,24.8724559797978,0.160958167124779,1.71238242115375,0.522285658337576,4.47633754287969,14.5250591646692,0.308180331118233,0.36981639734188,36.1429952206297
"SAUP","Caribbean Sea-Rachycentridae","Caribbean Sea","Cobias",NA,2014,339.0012373487,0.131166043808455,1.35525404759878,0.77719333816733,42.2155955809762,250.138516796418,0.168768873029397,0.202522647635276,622.424674114862
"SAUP","Caribbean Sea-Rachycentron canadum","Caribbean Sea","Cobia","Rachycentron canadum",2014,315.62621520918,0.196151471857523,1.54286082905526,0.580929929179653,69.0739249050875,204.572058130769,0.337650828447613,0.405180994137136,509.040743687954
"SAUP","Caribbean Sea-Rajiformes","Caribbean Sea","Skates and rays",NA,2014,16699.8956257575,0.131803427693235,1.28065841679815,0.755065625509044,2276.26307804485,13040.0857923613,0.17455890354481,0.209470684253773,32447.9062788485
"SAUP","Caribbean Sea-Rhinobatidae","Caribbean Sea","Guitarfishes, fanrays",NA,2014,6.11777288932821,0.0677851638336214,1.45218709950789,0.672456124174373,0.42466011510085,4.21279936407736,0.100802359286781,0.120962831144137,10.482792913621
"SAUP","Caribbean Sea-Rhizoprionodon terraenovae","Caribbean Sea","Atlantic sharpnose shark","Rhizoprionodon terraenovae",2014,775.054654230019,0.0727327021729878,1.91835052785192,0.369054139566197,79.6240024506148,404.021393888785,0.197078678641787,0.236494414370145,1005.33451484134
"SAUP","Caribbean Sea-Rhomboplites aurorubens","Caribbean Sea","Vermilion snapper","Rhomboplites aurorubens",2014,5468.73360163248,0.118100203998564,0.705355059287097,0.383105857780953,2390.07119401346,7753.16421088656,0.308270420824758,0.36992450498971,19292.3535692332
"SAUP","Caribbean Sea-Ruvettus pretiosus","Caribbean Sea","Oilfish","Ruvettus pretiosus",2014,1.94447320597047,0.0771597256466789,0.755161028317512,1.23036425849572,0.161480231046531,2.57491201618645,0.0627129121427964,0.0752554945713557,6.40720506811705
"SAUP","Caribbean Sea-Sarda sarda","Caribbean Sea","Atlantic bonito","Sarda sarda",2014,18542.8866743495,0.0190940697713195,0.685008639572422,0.126196319653745,4095.74689615385,27069.5661384998,0.151304489890906,0.181565387869087,67357.7428137519
"SAUP","Caribbean Sea-Sardinella aurita","Caribbean Sea","Round sardinella","Sardinella aurita",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Sardinella brasiliensis","Caribbean Sea","Brazilian sardinella","Sardinella brasiliensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Sciaenidae","Caribbean Sea","Drums, croakers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Sciaenops ocellatus","Caribbean Sea","Red drum","Sciaenops ocellatus",2014,873.638377275572,0.145094754777715,1.65784555398815,0.513608498274796,148.869985602472,526.972114606168,0.282500689270303,0.339000827124364,1311.27525221682
"SAUP","Caribbean Sea-Scomber","Caribbean Sea","Chub mackerels",NA,2014,105.403497601038,0.207806411026386,1.5188276587448,0.664082260780848,21.7161877362869,69.3979313545989,0.312922695423367,0.37550723450804,172.684260548275
"SAUP","Caribbean Sea-Scomberomorus","Caribbean Sea","Spanish mackerels",NA,2014,28493.2668347675,0.0223083803830031,0.896596153496601,0.90662041001562,781.96609524899,31779.3766163815,0.0246060866670967,0.029527304000516,79077.2584220744
"SAUP","Caribbean Sea-Scomberomorus brasiliensis","Caribbean Sea","Serra Spanish mackerel","Scomberomorus brasiliensis",2014,28085.3009349567,0.00651623887171933,0.829039887387904,0.0270890720780674,8149.0413790505,33876.8994860385,0.240548618754468,0.288658342505361,84296.5665290993
"SAUP","Caribbean Sea-Scomberomorus cavalla","Caribbean Sea","King mackerel","Scomberomorus cavalla",2014,23277.0424296487,0.152777965250784,0.957295924736978,0.433832882375469,8562.87971631831,24315.4095072996,0.352158564870054,0.422590277844065,60504.5197852037
"SAUP","Caribbean Sea-Scomberomorus maculatus","Caribbean Sea","Atlantic Spanish mackerel","Scomberomorus maculatus",2014,1348.71018857538,0.228465441257159,1.73212932872887,0.514778456089358,345.571943875056,778.642891270215,0.443813136611724,0.532575763934069,1937.5126792055
"SAUP","Caribbean Sea-Scomberomorus regalis","Caribbean Sea","Cero","Scomberomorus regalis",2014,6516.85978335094,0.00510926217836763,0.683595176722144,0.278828622317262,174.686853750561,9533.21498638924,0.0183240233226634,0.0219888279871961,23721.6895149321
"SAUP","Caribbean Sea-Scombridae","Caribbean Sea","Mackerels, tunas, bonitos",NA,2014,68995.0296597252,0.169475951195721,1.4514170562682,0.577074495931871,13960.5260230316,47536.3227693639,0.293681235941727,0.352417483130072,118285.582673463
"SAUP","Caribbean Sea-Scombroidea","Caribbean Sea","Tunas, bonitos, billfishes",NA,2014,14.7792232655507,0.404579615373799,1.26964844172578,1.04857308568273,4.49131398010064,11.640405942185,0.385838260487467,0.463005912584961,28.9650549140578
"SAUP","Caribbean Sea-Scyllaridae","Caribbean Sea","Slipper lobsters",NA,2014,788.268167259404,0.0633661948065988,1.14182024335293,0.59336186242098,73.7249097179807,690.361001960057,0.106791822696622,0.128150187235947,1717.83908839725
"SAUP","Caribbean Sea-Selar crumenophthalmus","Caribbean Sea","Bigeye scad","Selar crumenophthalmus",2014,7133.12493229396,0.459775030969953,1.9164453515525,0.445455685780702,3841.70724422193,3722.06018111368,1.03214538650271,1.23857446380325,9261.67678986879
"SAUP","Caribbean Sea-Selene setapinnis","Caribbean Sea","Atlantic moonfish","Selene setapinnis",2014,45438.4094104784,0.0157715047366962,0.748774824069946,0.554069012112466,1727.3532267131,60683.6767875007,0.0284648742158763,0.0341578490590515,151000.406623874
"SAUP","Caribbean Sea-Selene vomer","Caribbean Sea","Lookdown","Selene vomer",2014,609.793284555998,0.0301015539836014,1.22010942375762,0.704850323516387,21.3440027849376,499.785734526985,0.0427063065438199,0.0512475678525839,1243.62683893819
"SAUP","Caribbean Sea-Seriola dumerili","Caribbean Sea","Greater amberjack","Seriola dumerili",2014,7718.2717258154,0.0790419410039039,1.26090327810106,0.553715818224452,873.793795126906,6121.22425237821,0.14274820838126,0.171297850057512,15231.5647316777
"SAUP","Caribbean Sea-Seriola zonata","Caribbean Sea","Banded rudderfish","Seriola zonata",2014,357.001879573837,0.00339591327123323,0.737362120276766,0.0184171291016227,89.2738649303538,484.160861748414,0.18438885086243,0.221266621034916,1204.74715550581
"SAUP","Caribbean Sea-Serranidae","Caribbean Sea","Basses, groupers, hinds",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAUP","Caribbean Sea-Sicyonia brevirostris","Caribbean Sea","Rock shrimp","Sicyonia brevirostris",2014,1641.82240016385,0.00670441236731908,0.771944516390715,0.306561096562683,46.514008493147,2126.86581134135,0.0218697429076693,0.0262436914892032,5292.32273567692
"SAUP","Caribbean Sea-Sparidae","Caribbean Sea","Porgies, seabreams",NA,2014,43269.7218715801,0.0483637056782468,1.5336279109333,0.513438277015217,2657.63556569037,28213.9634803908,0.0941957540824588,0.113034904898951,70205.369607526
"SAUP","Caribbean Sea-Sparisoma aurofrenatum","Caribbean Sea","Redband parrotfish","Sparisoma aurofrenatum",2014,818.64096007631,0.240817779551396,1.35851154623253,0.968737275082103,149.800296640021,602.601400294752,0.248589360341261,0.298307232409513,1499.46511638144
"SAUP","Caribbean Sea-Sparisoma chrysopterum","Caribbean Sea","Redtail parrotfish","Sparisoma chrysopterum",2014,91.3517836196327,0.31403731236217,1.28152211506364,0.51005292252194,43.8891265209308,71.2838136352379,0.615695545492462,0.738834654590955,177.376939144835
"SAUP","Caribbean Sea-Sparisoma rubripinne","Caribbean Sea","Redfin parrotfish","Sparisoma rubripinne",2014,90.469697728464,0.316645916122996,1.19000961230392,0.558730225354891,43.0848311445147,76.0243419826752,0.566724157301264,0.680068988761517,189.17289064233
